phase,alpha,disturbance_half_F1,disturbance_half_X1,disturbance_half_T1,disturbance_half_T200,hinf_feasible,rpi_feasible,x_tight_feasible,u_tight_feasible,invariant_feasible,v_ref_feasible,formal_certification_passed,rpi_area,x_minus_z_area,invariant_area,robust_region_scale,max_residual_norm,failure_reason
grid,0.0,0.0,0.0,0.0,0.0,True,True,True,True,True,True,True,7.530002462840537,12.162262031023923,12.040943467264462,2.246856689453125,0.0010811880967614154,
bisection,0.125,0.0625,0.0625,0.5,0.625,True,True,True,True,True,True,True,3.5748500150237126,4.638773360455116,4.592501596184576,1.5777587890625,0.0006779333820798402,
bisection,0.140625,0.0703125,0.0703125,0.5625,0.703125,True,True,True,True,True,True,True,2.729484806779176,3.2692405317906648,3.2366298574860535,1.3916015625,0.0005752787735276585,
bisection,0.1484375,0.07421875,0.07421875,0.59375,0.7421875,True,True,True,True,True,True,True,2.0605675831230617,2.481514193753861,2.4567610896711662,1.2099609375,0.00048055395751798503,
bisection,0.1494140625,0.07470703125,0.07470703125,0.59765625,0.7470703125,True,True,True,True,False,False,False,nan,nan,nan,nan,0.0033430996277370815,"RuntimeError: No feasible robust operating region was found on the configured scale range [1, 4]. |   scale=1: hinf=True, rpi=True, x_tight=True, u_tight=True, invariant=False, v_ref=False, max_residual_norm=0.00037945 |   scale=1.25: hinf=True, rpi=True, x_tight=True, u_tight=True, invariant=False, v_ref=False, max_residual_norm=0.000503293 |   scale=1.5625: hinf=True, rpi=True, x_tight=True, u_tight=True, invariant=False, v_ref=False, max_residual_norm=0.000695787 |   scale=1.953125: hinf=True, rpi=True, x_tight=False, u_tight=True, invariant=False, v_ref=False, max_residual_norm=0.00099524 |   scale=2.44140625: hinf=True, rpi=True, x_tight=False, u_tight=False, invariant=False, v_ref=False, max_residual_norm=0.0014614 |   scale=3.05175781: hinf=True, rpi=True, x_tight=False, u_tight=False, invariant=False, v_ref=False, max_residual_norm=0.00218753 |   scale=3.81469727: hinf=True, rpi=True, x_tight=False, u_tight=False, invariant=False, v_ref=False, max_residual_norm=0.00314735 |   scale=4: hinf=True, rpi=True, x_tight=False, u_tight=False, invariant=False, v_ref=False, max_residual_norm=0.0033431"
bisection,0.150390625,0.0751953125,0.0751953125,0.6015625,0.751953125,True,True,True,True,False,False,False,nan,nan,nan,nan,0.00334445196486772,"RuntimeError: No feasible robust operating region was found on the configured scale range [1, 4]. |   scale=1: hinf=True, rpi=True, x_tight=True, u_tight=True, invariant=False, v_ref=False, max_residual_norm=0.000380533 |   scale=1.25: hinf=True, rpi=True, x_tight=True, u_tight=True, invariant=False, v_ref=False, max_residual_norm=0.000504397 |   scale=1.5625: hinf=True, rpi=True, x_tight=True, u_tight=True, invariant=False, v_ref=False, max_residual_norm=0.000696919 |   scale=1.953125: hinf=True, rpi=True, x_tight=False, u_tight=True, invariant=False, v_ref=False, max_residual_norm=0.000996407 |   scale=2.44140625: hinf=True, rpi=True, x_tight=False, u_tight=False, invariant=False, v_ref=False, max_residual_norm=0.00146262 |   scale=3.05175781: hinf=True, rpi=True, x_tight=False, u_tight=False, invariant=False, v_ref=False, max_residual_norm=0.0021888 |   scale=3.81469727: hinf=True, rpi=True, x_tight=False, u_tight=False, invariant=False, v_ref=False, max_residual_norm=0.00314869 |   scale=4: hinf=True, rpi=True, x_tight=False, u_tight=False, invariant=False, v_ref=False, max_residual_norm=0.00334445"
bisection,0.15234375,0.076171875,0.076171875,0.609375,0.76171875,True,True,True,True,False,False,False,nan,nan,nan,nan,0.0033471567587670553,"RuntimeError: No feasible robust operating region was found on the configured scale range [1, 4]. |   scale=1: hinf=True, rpi=True, x_tight=True, u_tight=True, invariant=False, v_ref=False, max_residual_norm=0.000382699 |   scale=1.25: hinf=True, rpi=True, x_tight=True, u_tight=True, invariant=False, v_ref=False, max_residual_norm=0.000506607 |   scale=1.5625: hinf=True, rpi=True, x_tight=True, u_tight=True, invariant=False, v_ref=False, max_residual_norm=0.000699184 |   scale=1.953125: hinf=True, rpi=True, x_tight=False, u_tight=True, invariant=False, v_ref=False, max_residual_norm=0.000998742 |   scale=2.44140625: hinf=True, rpi=True, x_tight=False, u_tight=False, invariant=False, v_ref=False, max_residual_norm=0.00146504 |   scale=3.05175781: hinf=True, rpi=True, x_tight=False, u_tight=False, invariant=False, v_ref=False, max_residual_norm=0.00219134 |   scale=3.81469727: hinf=True, rpi=True, x_tight=False, u_tight=False, invariant=False, v_ref=False, max_residual_norm=0.00315136 |   scale=4: hinf=True, rpi=True, x_tight=False, u_tight=False, invariant=False, v_ref=False, max_residual_norm=0.00334716"
bisection,0.15625,0.078125,0.078125,0.625,0.78125,True,True,True,True,False,False,False,nan,nan,nan,nan,0.0033525668251067463,"RuntimeError: No feasible robust operating region was found on the configured scale range [1, 4]. |   scale=1: hinf=True, rpi=True, x_tight=True, u_tight=True, invariant=False, v_ref=False, max_residual_norm=0.000387032 |   scale=1.25: hinf=True, rpi=True, x_tight=True, u_tight=True, invariant=False, v_ref=False, max_residual_norm=0.000511026 |   scale=1.5625: hinf=True, rpi=True, x_tight=True, u_tight=True, invariant=False, v_ref=False, max_residual_norm=0.000703714 |   scale=1.953125: hinf=True, rpi=True, x_tight=False, u_tight=True, invariant=False, v_ref=False, max_residual_norm=0.00100341 |   scale=2.44140625: hinf=True, rpi=True, x_tight=False, u_tight=False, invariant=False, v_ref=False, max_residual_norm=0.00146989 |   scale=3.05175781: hinf=True, rpi=True, x_tight=False, u_tight=False, invariant=False, v_ref=False, max_residual_norm=0.00219642 |   scale=3.81469727: hinf=True, rpi=True, x_tight=False, u_tight=False, invariant=False, v_ref=False, max_residual_norm=0.00315671 |   scale=4: hinf=True, rpi=True, x_tight=False, u_tight=False, invariant=False, v_ref=False, max_residual_norm=0.00335257"
bisection,0.1875,0.09375,0.09375,0.75,0.9375,True,True,False,True,False,False,False,nan,nan,nan,nan,0.003395870322976968,"RuntimeError: No feasible robust operating region was found on the configured scale range [1, 4]. |   scale=1: hinf=True, rpi=True, x_tight=False, u_tight=True, invariant=False, v_ref=False, max_residual_norm=0.000421721 |   scale=1.25: hinf=True, rpi=True, x_tight=False, u_tight=True, invariant=False, v_ref=False, max_residual_norm=0.000546406 |   scale=1.5625: hinf=True, rpi=True, x_tight=False, u_tight=True, invariant=False, v_ref=False, max_residual_norm=0.000739975 |   scale=1.953125: hinf=True, rpi=True, x_tight=False, u_tight=True, invariant=False, v_ref=False, max_residual_norm=0.0010408 |   scale=2.44140625: hinf=True, rpi=True, x_tight=False, u_tight=False, invariant=False, v_ref=False, max_residual_norm=0.00150872 |   scale=3.05175781: hinf=True, rpi=True, x_tight=False, u_tight=False, invariant=False, v_ref=False, max_residual_norm=0.0022371 |   scale=3.81469727: hinf=True, rpi=True, x_tight=False, u_tight=False, invariant=False, v_ref=False, max_residual_norm=0.00319956 |   scale=4: hinf=True, rpi=True, x_tight=False, u_tight=False, invariant=False, v_ref=False, max_residual_norm=0.00339587"
grid,0.25,0.125,0.125,1.0,1.25,True,True,False,False,False,False,False,nan,nan,nan,nan,0.0034825997720837965,"RuntimeError: No feasible robust operating region was found on the configured scale range [1, 4]. |   scale=1: hinf=True, rpi=True, x_tight=False, u_tight=False, invariant=False, v_ref=False, max_residual_norm=0.000491231 |   scale=1.25: hinf=True, rpi=True, x_tight=False, u_tight=False, invariant=False, v_ref=False, max_residual_norm=0.000617299 |   scale=1.5625: hinf=True, rpi=True, x_tight=False, u_tight=False, invariant=False, v_ref=False, max_residual_norm=0.00081263 |   scale=1.953125: hinf=True, rpi=True, x_tight=False, u_tight=False, invariant=False, v_ref=False, max_residual_norm=0.00111571 |   scale=2.44140625: hinf=True, rpi=True, x_tight=False, u_tight=False, invariant=False, v_ref=False, max_residual_norm=0.00158651 |   scale=3.05175781: hinf=True, rpi=True, x_tight=False, u_tight=False, invariant=False, v_ref=False, max_residual_norm=0.00231857 |   scale=3.81469727: hinf=True, rpi=True, x_tight=False, u_tight=False, invariant=False, v_ref=False, max_residual_norm=0.00328537 |   scale=4: hinf=True, rpi=True, x_tight=False, u_tight=False, invariant=False, v_ref=False, max_residual_norm=0.0034826"
