episode,evaluation_return_per_step,best_so_far_return_per_step,normalized_empirical_regret
0.0,-4.789503917640007,-4.789503917640007,-1.0
1.0,-4.79121058038062,-4.789503917640007,-1.0
5.0,-4.778372441071826,-4.778372441071826,-0.6628620452852234
10.0,-4.7772400739715986,-4.7772400739715986,-0.6285661523891884
15.0,-4.780960125418961,-4.7772400739715986,-0.6285661523891884
20.0,-4.785732154875219,-4.7772400739715986,-0.6285661523891884
25.0,-4.788312393464694,-4.7772400739715986,-0.6285661523891884
30.0,-4.780585762707921,-4.7772400739715986,-0.6285661523891884
35.0,-4.783179104157987,-4.7772400739715986,-0.6285661523891884
40.0,-4.778944279935993,-4.7772400739715986,-0.6285661523891884
45.0,-4.780356450135705,-4.7772400739715986,-0.6285661523891884
50.0,-4.782480077417266,-4.7772400739715986,-0.6285661523891884
55.0,-4.785023517978343,-4.7772400739715986,-0.6285661523891884
60.0,-4.7603933305234465,-4.7603933305234465,-0.1183304621888724
65.0,-4.760948214217467,-4.7603933305234465,-0.1183304621888724
70.0,-4.760720658774643,-4.7603933305234465,-0.1183304621888724
75.0,-4.75855385698535,-4.75855385698535,-0.0626185049667369
80.0,-4.757488725431823,-4.757488725431823,-0.03035896857381394
85.0,-4.761815001057298,-4.757488725431823,-0.03035896857381394
90.0,-4.759455708703981,-4.757488725431823,-0.03035896857381394
95.0,-4.760832434926235,-4.757488725431823,-0.03035896857381394
100.0,-4.759122298981288,-4.757488725431823,-0.03035896857381394
105.0,-4.757341131533706,-4.757341131533706,-0.02588880644977546
110.0,-4.761279716708716,-4.757341131533706,-0.02588880644977546
115.0,-4.75884680882951,-4.757341131533706,-0.02588880644977546
120.0,-4.759687250463821,-4.757341131533706,-0.02588880644977546
125.0,-4.757901607442844,-4.757341131533706,-0.02588880644977546
130.0,-4.7594279576345,-4.757341131533706,-0.02588880644977546
135.0,-4.758111712340851,-4.757341131533706,-0.02588880644977546
140.0,-4.757857211069469,-4.757341131533706,-0.02588880644977546
145.0,-4.761286904872337,-4.757341131533706,-0.02588880644977546
150.0,-4.756486346012397,-4.756486346012397,0.0
155.0,-4.762591932001136,-4.756486346012397,0.0
160.0,-4.760203306782055,-4.756486346012397,0.0
165.0,-4.757112552591969,-4.756486346012397,0.0
170.0,-4.759125381126311,-4.756486346012397,0.0
175.0,-4.757530303350449,-4.756486346012397,0.0
180.0,-4.758448983744061,-4.756486346012397,0.0
185.0,-4.75690355818291,-4.756486346012397,0.0
190.0,-4.759996427502804,-4.756486346012397,0.0
195.0,-4.7596777757630235,-4.756486346012397,0.0
200.0,-4.759590632138136,-4.756486346012397,0.0
