metric,n,mean,sample_std,ci95_lower,ci95_upper,ci95_half_width,min,max
best_diagnostic_episode,3,483.3333333333333,24.664414311581236,422.0635316013956,544.6031350652711,61.26980173193772,455.0,500.0
best_post_warmup_episode,3,483.3333333333333,24.664414311581236,422.0635316013956,544.6031350652711,61.26980173193772,455.0,500.0
best_post_warmup_global_step,3,145000.0,7399.324293474371,126619.05948041868,163380.94051958132,18380.940519581316,136500.0,150000.0
best_post_warmup_improvement_percent,3,0.11102294932331035,0.007255515133818624,0.09299925056053843,0.12904664808608227,0.018023698762771916,0.10269252550906777,0.11595986659091335
economic_improvement_percent,3,0.1109081974271592,0.007254919112425468,0.09288597926360709,0.1289304155907113,0.01802221816355211,0.10257800331379967,0.11584124686071462
J_econ,3,2015199.4635786808,144.8233036808913,2014839.7025484534,2015559.2246089082,359.7610302275023,2015099.8434461663,2015365.5950152334
requested_residual_norm,3,0.3698615686040922,0.04077273471084267,0.2685764806938871,0.47114665651429727,0.10128508791020506,0.3228047541197643,0.39467763020260066
applied_residual_norm,3,0.018493078430204604,0.002038636735542129,0.013428824034694363,0.023557332825714844,0.0050642543955102415,0.016140237705988214,0.019733881510130034
execution_ratio,3,0.05000000000000026,0.0,0.05000000000000026,0.05000000000000026,0.0,0.05000000000000026,0.05000000000000026
requested_policy_state_dependence,3,50.30595266110586,9.84287585343547,25.85489356059055,74.75701176162117,24.451059100515312,38.98005441539328,56.790623611569636
applied_policy_state_dependence,3,2.5152976330552903,0.4921437926717723,1.2927446780295275,3.737850588081053,1.2225529550257628,1.9490027207696627,2.8395311805784793
physical_constraint_violation_rate,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0
robust_operating_region_violation_rate,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0
qp_infeasible_rate,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0
disturbance_bound_exceedance_rate,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0
execution_mask_mean,3,1.0,0.0,1.0,1.0,0.0,1.0,1.0
rpi_violation_rate,3,0.16407407407407407,0.0006415002990995883,0.16248049898892172,0.1656676491592264,0.0015935750851523343,0.16333333333333333,0.16444444444444445
rpi_utilization_peak,3,1.0337698742206998,0.0009844887132688166,1.031324268681184,1.0362154797602154,0.0024456055395155984,1.0326661561977282,1.034557472327118
pressure_positive_economic_improvement_percent,3,0.11612321895560308,0.012934212758115628,0.08399285327015746,0.1482535846410487,0.03213036568544563,0.10151758742762641,0.1261279794680886
pressure_positive_J_econ,3,2027285.4859141102,259.90741282905094,2026639.8401083138,2027931.1317199066,645.6458057963882,2027082.3818059897,2027578.3842620773
pressure_positive_requested_residual_norm,3,0.36335182931465376,0.027493718379263777,0.2950536466499129,0.4316500119793946,0.06829818266474084,0.3414561232340741,0.39420792415935507
pressure_positive_applied_residual_norm,3,0.018167591465732685,0.0013746859189632053,0.014752682332495602,0.021582500598969767,0.0034149091332370835,0.01707280616170369,0.01971039620796777
pressure_positive_X2_peak_deviation,3,1.029623349136763,0.003753368864716775,1.02029946399346,1.038947234280066,0.009323885143303115,1.0264199614396183,1.0337531862330493
pressure_positive_X2_peak_deviation_baseline,3,1.0654885728829413,0.0005484011917593314,1.0641262688012718,1.0668508769646108,0.0013623040816694127,1.0649364944933346,1.0660332213775092
pressure_positive_X2_peak_deviation_change,3,-0.03586522374617829,0.00341343526179614,-0.04434466700694333,-0.027385780485413243,0.008479443260765045,-0.03907604133836173,-0.03228003514445987
pressure_positive_X2_IAE,3,44.52028736397656,1.1152382516980084,41.74988196524284,47.29069276271027,2.770405398733718,43.84197852465019,45.80742870175582
pressure_positive_X2_IAE_baseline,3,45.76295194405569,0.08455196225752548,45.55291322600139,45.97299066211,0.21003871805430868,45.677836481799964,45.84692890846163
pressure_positive_X2_IAE_change,3,-1.2426645800791434,1.0448762432350007,-3.8382810601088346,1.3529518999505479,2.5956164800296913,-1.9221119172553216,-0.039500206705810115
pressure_positive_X2_ISE,3,22.574269924833043,0.49648079360260894,21.34094326223869,23.807596587427398,1.2333266625943555,22.19667421347573,23.13664412811644
pressure_positive_X2_ISE_baseline,3,24.045519680948683,0.059498034434869194,23.897718369828446,24.19332099206892,0.14780131112023678,23.985640588316954,24.104629191282584
pressure_positive_X2_ISE_change,3,-1.4712497561156397,0.45389178586772033,-2.598779458485753,-0.3437200537455263,1.1275297023701134,-1.8496150497707688,-0.9679850631661431
pressure_positive_X2_settling_time_empirical,3,136.33333333333334,4.932882862316247,124.0793729869458,148.5872936797209,12.253960346387544,133.0,142.0
pressure_positive_X2_settling_time_empirical_baseline,3,134.66666666666666,0.5773502691896258,133.23244909002958,136.10088424330374,1.4342175766370917,134.0,135.0
pressure_positive_X2_settling_time_common_baseline,3,134.66666666666666,0.5773502691896258,133.23244909002958,136.10088424330374,1.4342175766370917,134.0,135.0
pressure_positive_P2_peak_deviation,3,0.05604249891771692,0.0016172752435355256,0.05202496449481903,0.060060033340614806,0.004017534422897888,0.05472450679445018,0.05784724878606795
pressure_positive_P2_peak_deviation_baseline,3,0.05508257122787796,0.0006843745932218987,0.053382490491827715,0.05678265196392821,0.0017000807360502462,0.05439355391180811,0.05576220663427023
pressure_positive_P2_peak_deviation_change,3,0.0009599276898389538,0.0012386915091940592,-0.0021171526014906613,0.004037007981168569,0.003077080291329615,-0.00036744634310537094,0.0020850421517977225
pressure_positive_P2_IAE,3,8.455320677649437,0.2087163361811914,7.936840555863881,8.973800799434994,0.5184801217855562,8.2980066467764,8.692097049133082
pressure_positive_P2_IAE_baseline,3,8.38185645800783,0.09321823684249082,8.150289520435816,8.613423395579844,0.23156693757201416,8.2881181951145,8.474545816781827
pressure_positive_P2_IAE_change,3,0.07346421964160754,0.1517295099313404,-0.30345277797840636,0.45038121726162145,0.3769169976200139,-0.08489871535076077,0.21755123235125495
pressure_positive_P2_ISE,3,0.36101421279745294,0.018755656777914565,0.31442257848503746,0.4076058471098684,0.04659163431241546,0.3468161415489015,0.3822760779690587
pressure_positive_P2_ISE_baseline,3,0.3533901512062701,0.007988308710308891,0.33354609228514187,0.3732342101273983,0.019844058921128248,0.3453770883721877,0.3613534735027972
pressure_positive_P2_ISE_change,3,0.007624061591182803,0.013797689929080084,-0.026651300297971792,0.0418994234803374,0.034275361889154594,-0.006623750194924005,0.02092260446626154
pressure_positive_P100_min,3,221.27822148689776,0.03192635976157436,221.19891201261214,221.3575309611834,0.07930947428561778,221.25947135944244,221.31508503890564
pressure_positive_P100_max,3,300.52831370055276,0.0,300.52831370055276,300.52831370055276,0.0,300.52831370055276,300.52831370055276
pressure_positive_P100_peak_difference,3,2.2430178353164174,0.10585515804867113,1.9800590452145328,2.505976625418302,0.2629587901018847,2.1208265755863067,2.3068128206018628
pressure_positive_P100_TV,3,79.25009221365501,0.03192635976157436,79.17078273936939,79.32940168794063,0.07930947428561778,79.21322866164712,79.26884234111031
pressure_positive_P100_TV_baseline,3,78.97907454986549,0.007930715360106097,78.95937356075756,78.99877553897342,0.019700989107938063,78.97109099376766,78.98695134659488
pressure_positive_P100_TV_change,3,0.27101766378952635,0.03892509715995778,0.17432236199729306,0.36771296558175964,0.09669530179223328,0.22627731505224347,0.29711464443994373
pressure_positive_F200_min,3,216.65679619909295,0.23947072597927493,216.06191793780522,217.25167446038068,0.5948782612877184,216.41246213786889,216.8910876181999
pressure_positive_F200_max,3,237.02016180451074,0.13233182951002193,236.6914313163476,237.34889229267387,0.3287304881631235,236.93686602198892,237.17275144878658
pressure_positive_F200_peak_difference,3,1.4948007464408875,0.0032952014171982735,1.4866150123323043,1.5029864805494706,0.00818573410858321,1.4926002323627472,1.4985892474651337
pressure_positive_F200_TV,3,32.06145148349001,1.7488914658721784,27.71696423919523,36.40593872778479,4.34448724429478,30.10050107090686,33.4598100095528
pressure_positive_F200_TV_baseline,3,25.027139308276976,0.027343878771912734,24.959213347831582,25.09506526872237,0.06792596044539226,24.999612511366962,25.05429652228989
pressure_positive_F200_TV_change,3,7.034312175213036,1.7225582478542403,2.7552402708708197,11.313384079555252,4.279071904342216,5.1008885595398965,8.405513487262908
pressure_negative_economic_improvement_percent,3,0.11509763742117614,0.0033995600723941,0.10665266204166368,0.1235426128006886,0.008444975379512464,0.11119221172763949,0.11739349207538567
pressure_negative_J_econ,3,2053039.281159039,71.81579368648914,2052860.8808376363,2053217.6814804415,178.40032140259817,2052989.9397392466,2053121.6716787277
pressure_negative_requested_residual_norm,3,0.37307261913356965,0.024539474596429287,0.3121131848597479,0.43403205340739137,0.06095943427382175,0.3447989009034982,0.3888322710738574
pressure_negative_applied_residual_norm,3,0.018653630956678473,0.0012269737298214593,0.015605659242987398,0.02170160267036955,0.003047971713691075,0.017239945045174905,0.019441613553692852
pressure_negative_X2_peak_deviation,3,1.6317771020212604,0.00979097943143807,1.6074549607797386,1.6560992432627821,0.02432214124152181,1.6207963382390176,1.639597805412901
pressure_negative_X2_peak_deviation_baseline,3,1.6863695293484338,0.00018778419730518093,1.6859030475422196,1.6868360111546479,0.00046648180621410793,1.686180397515205,1.6865559362526419
pressure_negative_X2_peak_deviation_change,3,-0.054592427327173475,0.009970755455000533,-0.07936115696851212,-0.029823697685834833,0.02476872964133864,-0.0657595980136243,-0.04658259210230398
pressure_negative_X2_IAE,3,40.763586455030314,0.6202220857394762,39.22286938212649,42.30430352793414,1.5407170729038224,40.071981469836246,41.27043969733084
pressure_negative_X2_IAE_baseline,3,42.50483632441088,0.026500785473630845,42.43900472382236,42.570667924999405,0.0658316005885275,42.478158295749196,42.53115623704516
pressure_negative_X2_IAE_change,3,-1.7412498693805578,0.6457835495137884,-3.3454651384160767,-0.1370346003450389,1.604215269035519,-2.459174767208914,-1.207718598418353
pressure_negative_X2_ISE,3,31.129918811082774,0.7750982433125243,29.204468034486286,33.05536958767926,1.9254507765964866,30.250602101240297,31.714072424161536
pressure_negative_X2_ISE_baseline,3,33.7940675393779,0.04569386225275137,33.68055769295604,33.907577385799755,0.11350984642185341,33.74808252868112,33.83946457866445
pressure_negative_X2_ISE_change,3,-2.6641487282951175,0.8182129024523592,-4.696702255594157,-0.6315952009960784,2.032553527299039,-3.5888624774241507,-2.034010104519581
pressure_negative_X2_settling_time_empirical,3,62.0,1.0,59.51586228815625,64.48413771184376,2.484137711843753,61.0,63.0
pressure_negative_X2_settling_time_empirical_baseline,3,64.0,0.0,64.0,64.0,0.0,64.0,64.0
pressure_negative_X2_settling_time_common,3,77.66666666666667,1.5275252316519468,73.8720836329272,81.46124970040614,3.7945830337394653,76.0,79.0
pressure_negative_X2_settling_time_common_baseline,3,64.0,0.0,64.0,64.0,0.0,64.0,64.0
pressure_negative_P2_peak_deviation,3,1.0608404247737369,0.0038316550494721315,1.0513220659665665,1.0703587835809072,0.009518358807170262,1.0565240058906156,1.0638400475722278
pressure_negative_P2_peak_deviation_baseline,3,1.0652483834733413,0.0016850118041803436,1.061062582105675,1.0694341848410076,0.004185801367666272,1.063575102072356,1.0669448856714396
pressure_negative_P2_peak_deviation_change,3,-0.004407958699604346,0.002852011210143098,-0.011492747301321955,0.002676829902113262,0.007084788601717608,-0.0070510961817404905,-0.0013851151040000786
pressure_negative_P2_IAE,3,101.6757091002829,0.5708348525569588,100.25767671581139,103.09374148475442,1.4180323844715097,101.01924988147603,102.05540131189741
