episode,global_step,post_warmup_eligible,policy_scale,return_per_step,economic_cost_mean,incremental_return_per_step,economic_cost_reduction_percent,violation_rate,robust_operating_region_violation_rate,rpi_violation_rate,qp_infeasible_rate,disturbance_bound_exceedance_rate,intervention_rate,mapping_rate,safe,positive_increment,practically_significant,eligible
0.0,0.0,0.0,0.0,-4.789503917640007,6724.804123457732,0.0,0.0,0.0,0.0,0.16333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1.0,300.0,0.0,0.0,-4.789503917640007,6724.804123457732,0.0,0.0,0.0,0.0,0.16333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,300.0,0.0,0.25,-4.7899306361529,6724.889520795848,-0.0004267185128927764,-0.0012698858813970915,0.0,0.0,0.16333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,300.0,0.0,0.5,-4.790357319418393,6724.974911049976,-0.0008534017783858872,-0.0025396664216303447,0.0,0.0,0.16333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,300.0,0.0,0.75,-4.790783967488149,6725.060294230431,-0.0012800498481420064,-0.003809341774067348,0.0,0.0,0.16333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,300.0,0.0,1.0,-4.79121058038062,6725.145670340919,-0.0017066627406130408,-0.005078911993820353,0.0,0.0,0.16333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5.0,1500.0,0.0,0.0,-4.789503917640007,6724.804123457732,0.0,0.0,0.0,0.0,0.16333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5.0,1500.0,0.0,0.25,-4.781182320717608,6723.138184495732,0.008321596922399088,0.024773048127732556,0.0,0.0,0.16333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5.0,1500.0,0.0,0.5,-4.772849893707637,6721.470046078274,0.0166540239323707,0.04957880286546833,0.0,0.0,0.16333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5.0,1500.0,0.0,0.75,-4.786727070730443,6719.799511365359,0.00277684690956459,0.07442019128729972,0.0,0.0,0.16444444444444445,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5.0,1500.0,0.0,1.0,-4.778372441071826,6718.127071988331,0.011131476568181142,0.09928990267701084,0.0,0.0,0.16444444444444445,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10.0,3000.0,0.0,0.0,-4.789503917640007,6724.804123457732,0.0,0.0,0.0,0.0,0.16333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10.0,3000.0,0.0,0.25,-4.780905173766758,6723.082738856979,0.008598743873249326,0.025597542607209603,0.0,0.0,0.16333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10.0,3000.0,0.0,0.5,-4.772291629569193,6721.358360301693,0.017212288070814097,0.05123960628116057,0.0,0.0,0.16333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10.0,3000.0,0.0,0.75,-4.785883646573866,6719.630780034477,0.0036202710661417115,0.07692928044119098,0.0,0.0,0.16444444444444445,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10.0,3000.0,0.0,1.0,-4.7772400739715986,6717.900535871409,0.012263843668408825,0.10265856758922474,0.0,0.0,0.16444444444444445,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15.0,4500.0,0.0,0.0,-4.789503917640007,6724.804123457732,0.0,0.0,0.0,0.0,0.16333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15.0,4500.0,0.0,0.25,-4.781829906444422,6723.267751717445,0.007674011195585528,0.022846341872289806,0.0,0.0,0.16333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15.0,4500.0,0.0,0.5,-4.774144493064376,6721.729067735248,0.015359424575631664,0.04572706752540369,0.0,0.0,0.16333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15.0,4500.0,0.0,0.75,-4.788668860283756,6720.187991490425,0.0008350573562516672,0.06864336689310002,0.0,0.0,0.16444444444444445,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15.0,4500.0,0.0,1.0,-4.780960125418961,6718.644774157322,0.008543792221046509,0.09159150493209048,0.0,0.0,0.16444444444444445,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20.0,6000.0,1.0,0.0,-4.789503917640007,6724.804123457732,0.0,0.0,0.0,0.0,0.16333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20.0,6000.0,1.0,0.25,-4.783019487216218,6723.506162390055,0.0064844304237894335,0.019301098498169394,0.0,0.0,0.16333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20.0,6000.0,1.0,0.5,-4.776525676480767,6722.2063080838225,0.012978241159240511,0.03863035006250846,0.0,0.0,0.16333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20.0,6000.0,1.0,0.75,-4.7700225009372,6720.90456359761,0.01948141670280723,0.057987709211033814,0.0,0.0,0.16333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20.0,6000.0,1.0,1.0,-4.785732154875219,6719.600923309948,0.003771762764788633,0.0773732595368037,0.0,0.0,0.16444444444444445,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25.0,7500.0,1.0,0.0,-4.789503917640007,6724.804123457732,0.0,0.0,0.0,0.0,0.16333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25.0,7500.0,1.0,0.25,-4.783741840189556,6723.6503738310375,0.0057620774504512084,0.017156627992629646,0.0,0.0,0.16333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25.0,7500.0,1.0,0.5,-4.777919317049794,6722.484513442043,0.011584600590213157,0.03449334691545725,0.0,0.0,0.16333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25.0,7500.0,1.0,0.75,-4.794258556785215,6721.3065395332815,-0.004754639145208017,0.05201019777290351,0.0,0.0,0.16444444444444445,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25.0,7500.0,1.0,1.0,-4.788312393464694,6720.11604850001,0.0011915241753133188,0.06971318229729596,0.0,0.0,0.16444444444444445,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30.0,9000.0,1.0,0.0,-4.789503917640007,6724.804123457732,0.0,0.0,0.0,0.0,0.16333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30.0,9000.0,1.0,0.25,-4.78178737618549,6723.259553398629,0.007716541454517056,0.022968253509655447,0.0,0.0,0.16333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30.0,9000.0,1.0,0.5,-4.774025218804035,6721.705840689861,0.015478698835972082,0.04607246116006988,0.0,0.0,0.16333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30.0,9000.0,1.0,0.75,-4.766217463994613,6720.142988904777,0.023286453645394722,0.06931256981443204,0.0,0.0,0.16333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30.0,9000.0,1.0,1.0,-4.780585762707921,6718.570953213319,0.008918154932086253,0.09268924611009399,0.0,0.0,0.16444444444444445,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
35.0,10500.0,1.0,0.0,-4.789503917640007,6724.804123457732,0.0,0.0,0.0,0.0,0.16333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
35.0,10500.0,1.0,0.25,-4.782409951297325,6723.384013114475,0.007093966342682556,0.021117497509009656,0.0,0.0,0.16333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
35.0,10500.0,1.0,0.5,-4.775287909637046,6721.95826607164,0.014216008002961189,0.0423188145535056,0.0,0.0,0.16333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
35.0,10500.0,1.0,0.75,-4.790359612027835,6720.526801578785,-0.0008556943878277323,0.0636051519185035,0.0,0.0,0.16444444444444445,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
35.0,10500.0,1.0,1.0,-4.783179104157987,6719.089413012243,0.00632481348202063,0.08497958216440249,0.0,0.0,0.16444444444444445,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
40.0,12000.0,1.0,0.0,-4.789503917640007,6724.804123457732,0.0,0.0,0.0,0.0,0.16333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
40.0,12000.0,1.0,0.25,-4.781345153903366,6723.17095491618,0.008158763736641816,0.02428574143677532,0.0,0.0,0.16333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
40.0,12000.0,1.0,0.5,-4.773162868159372,6721.533056802583,0.016341049480635306,0.04864181313086922,0.0,0.0,0.16333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
40.0,12000.0,1.0,0.75,-4.787178261264078,6719.890226055945,0.002325656375929519,0.07307123466460638,0.0,0.0,0.16444444444444445,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
40.0,12000.0,1.0,1.0,-4.778944279935993,6718.242086781148,0.01055963770401469,0.09757959571929128,0.0,0.0,0.16444444444444445,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
45.0,13500.0,1.0,0.0,-4.789503917640007,6724.804123457732,0.0,0.0,0.0,0.0,0.16333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
45.0,13500.0,1.0,0.25,-4.781718294239765,6723.245671617641,0.007785623400242692,0.02317468005729392,0.0,0.0,0.16333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
45.0,13500.0,1.0,0.5,-4.773895321758679,6721.679728049891,0.015608595881328569,0.046460764514199775,0.0,0.0,0.16333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
45.0,13500.0,1.0,0.75,-4.788256357903467,6720.106120023099,0.0012475597365400048,0.06986082194194516,0.0,0.0,0.16444444444444445,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
45.0,13500.0,1.0,1.0,-4.780356450135705,6718.524818083395,0.009147467504302398,0.09337529032902835,0.0,0.0,0.16444444444444445,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
50.0,15000.0,1.0,0.0,-4.789503917640007,6724.804123457732,0.0,0.0,0.0,0.0,0.16333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
50.0,15000.0,1.0,0.25,-4.782266473241236,6723.35523967091,0.0072374443987710535,0.021545367868307498,0.0,0.0,0.16333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
50.0,15000.0,1.0,0.5,-4.774980967120391,6721.896719138767,0.014522950519616273,0.043234037238692374,0.0,0.0,0.16333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
50.0,15000.0,1.0,0.75,-4.789868448354459,6720.428327932187,-0.00036453071445130547,0.06506948671235266,0.0,0.0,0.16444444444444445,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
50.0,15000.0,1.0,1.0,-4.782480077417266,6718.949334354919,0.007023840222741384,0.08706259684783964,0.0,0.0,0.16444444444444445,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
55.0,16500.0,1.0,0.0,-4.789503917640007,6724.804123457732,0.0,0.0,0.0,0.0,0.16333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
55.0,16500.0,1.0,0.25,-4.782911762809393,6723.484607585095,0.006592154830614483,0.019621625379909257,0.0,0.0,0.16333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
55.0,16500.0,1.0,0.5,-4.776264416322637,6722.154035985562,0.013239501317370284,0.03940765297425369,0.0,0.0,0.16333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
55.0,16500.0,1.0,0.75,-4.76956112232266,6720.812257304354,0.01994279531734744,0.05936033347728015,0.0,0.0,0.16333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
55.0,16500.0,1.0,1.0,-4.785023517978343,6719.459199391585,0.004480399661664691,0.07948073978100213,0.0,0.0,0.16444444444444445,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
60.0,18000.0,1.0,0.0,-4.789503917640007,6724.804123457732,0.0,0.0,0.0,0.0,0.16333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
60.0,18000.0,1.0,0.25,-4.78229518658591,6723.361652405137,0.0072087310540975835,0.021450008448034637,0.0,0.0,0.16333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
60.0,18000.0,1.0,0.5,-4.77504050560864,6721.9099816257885,0.014463412031367362,0.04303681979149711,0.0,0.0,0.16333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
60.0,18000.0,1.0,0.75,-4.767739225452782,6720.448981000866,0.021764692187224988,0.06476236893910595,0.0,0.0,0.16333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
60.0,18000.0,1.0,1.0,-4.7603933305234465,6718.9790505029305,0.029110587116560893,0.08662070817025692,0.0,0.0,0.16333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
65.0,19500.0,1.0,0.0,-4.789503917640007,6724.804123457732,0.0,0.0,0.0,0.0,0.16333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
65.0,19500.0,1.0,0.25,-4.782458952079328,6723.394525095832,0.007044965560679017,0.020961180965597716,0.0,0.0,0.16333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
65.0,19500.0,1.0,0.5,-4.775352165134814,6721.97255703752,0.014151752505193294,0.04210630329491194,0.0,0.0,0.16333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
65.0,19500.0,1.0,0.75,-4.768182619678182,6720.538031532357,0.02132129796182536,0.06343815889735346,0.0,0.0,0.16333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
65.0,19500.0,1.0,1.0,-4.760948214217467,6719.090527965571,0.028555703422540546,0.08496300244985588,0.0,0.0,0.16333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
70.0,21000.0,1.0,0.0,-4.789503917640007,6724.804123457732,0.0,0.0,0.0,0.0,0.16333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
70.0,21000.0,1.0,0.25,-4.782392920089983,6723.381264053147,0.007110997550024756,0.021158376935055234,0.0,0.0,0.16333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
70.0,21000.0,1.0,0.5,-4.77522512374664,6721.947039095914,0.014278793893367059,0.0424857632931185,0.0,0.0,0.16333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
70.0,21000.0,1.0,0.75,-4.76800111767331,6720.501566008937,0.02150279996669724,0.06398041295786211,0.0,0.0,0.16333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
70.0,21000.0,1.0,1.0,-4.760720658774643,6719.044795406239,0.02878325886536448,0.08564306031461999,0.0,0.0,0.16333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
75.0,22500.0,1.0,0.0,-4.789503917640007,6724.804123457732,0.0,0.0,0.0,0.0,0.16333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
75.0,22500.0,1.0,0.25,-4.781830354125543,6723.268929141325,0.007673563514464021,0.02282883320053532,0.0,0.0,0.16333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
75.0,22500.0,1.0,0.5,-4.774113837387645,6721.725140751059,0.015390080252362104,0.0457854630431926,0.0,0.0,0.16333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
75.0,22500.0,1.0,0.75,-4.76635484030503,6720.172852612236,0.02314907733497762,0.0688684868804009,0.0,0.0,0.16333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
75.0,22500.0,1.0,1.0,-4.75855385698535,6718.612162664181,0.030950060654657108,0.09207644832289567,0.0,0.0,0.16333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
80.0,24000.0,1.0,0.0,-4.789503917640007,6724.804123457732,0.0,0.0,0.0,0.0,0.16333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
80.0,24000.0,1.0,0.25,-4.781547026881469,6723.212201383197,0.007956890758538115,0.023672393207445637,0.0,0.0,0.16333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
80.0,24000.0,1.0,0.5,-4.773558759288213,6721.613998774581,0.01594515835179422,0.047438179976474024,0.0,0.0,0.16333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
80.0,24000.0,1.0,0.75,-4.76553924130171,6720.009539932823,0.023964676338297686,0.07129699894432057,0.0,0.0,0.16333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
80.0,24000.0,1.0,1.0,-4.757488725431823,6718.3988751994,0.03201519220818394,0.09524810151702337,0.0,0.0,0.16333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
85.0,25500.0,1.0,0.0,-4.789503917640007,6724.804123457732,0.0,0.0,0.0,0.0,0.16333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
85.0,25500.0,1.0,0.25,-4.782672027279534,6723.437483917438,0.0068318903604733805,0.02032236947284614,0.0,0.0,0.16333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
