episode,policy_scale,return_per_step,economic_cost_mean,incremental_return_per_step,economic_cost_reduction_percent,violation_rate,robust_operating_region_violation_rate,rpi_violation_rate,qp_infeasible_rate,disturbance_bound_exceedance_rate,intervention_rate,mapping_rate,safe,positive_increment,practically_significant,eligible
0.0,0.0,-4.789503917640007,6724.804123457732,0.0,0.0,0.0,0.0,0.16333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1.0,0.0,-4.789503917640007,6724.804123457732,0.0,0.0,0.0,0.0,0.16333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,0.25,-4.791854469984756,6725.274580509654,-0.0023505523447484578,-0.006995847660164817,0.0,0.0,0.16333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,0.5,-4.7942042708904795,6725.7448856731135,-0.0047003532504721335,-0.013989436690053926,0.0,0.0,0.16333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,0.75,-4.796553210043524,6726.215016887731,-0.007049292403516816,-0.020980439044712997,0.0,0.0,0.16333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,1.0,-4.798901651816315,6726.685047030392,-0.009397734176307182,-0.02796993842687996,0.0,0.0,0.16333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5.0,0.0,-4.789503917640007,6724.804123457732,0.0,0.0,0.0,0.0,0.16333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5.0,0.25,-4.779926469663661,6722.886985045844,0.009577447976345965,0.028508464732834055,0.0,0.0,0.16333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5.0,0.5,-4.770338552472185,6720.967717684878,0.0191653651678223,0.05704858762312117,0.0,0.0,0.16333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5.0,0.75,-4.782960398474395,6719.046097438454,0.006543519165612466,0.08562369867685364,0.0,0.0,0.16444444444444445,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5.0,1.0,-4.773351252119434,6717.122725307408,0.016152665520573706,0.11422486081832596,0.0,0.0,0.16444444444444445,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10.0,0.0,-4.789503917640007,6724.804123457732,0.0,0.0,0.0,0.0,0.16333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10.0,0.25,-4.795886543252454,6726.078994459084,-0.006382625612446624,-0.01895774178618799,0.0,0.0,0.16333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10.0,0.5,-4.802231599972461,6727.346316129812,-0.012727682332453583,-0.037803222598146946,0.0,0.0,0.16333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10.0,0.75,-4.830761182412066,6728.606230758371,-0.04125726477205838,-0.056538558310951996,0.0,0.0,0.16444444444444445,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10.0,1.0,-4.8370366104036355,6729.85976561977,-0.04753269276362815,-0.07517902483437938,0.0,0.0,0.16444444444444445,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15.0,0.0,-4.789503917640007,6724.804123457732,0.0,0.0,0.0,0.0,0.16333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15.0,0.25,-4.795738909918593,6726.0494983302915,-0.006234992278585594,-0.018519124865141116,0.0,0.0,0.16333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15.0,0.5,-4.801935272085517,6727.287116805151,-0.01243135444550969,-0.03692290960203788,0.0,0.0,0.16333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15.0,0.75,-4.8303132851993675,6728.516753833508,-0.040809367559360155,-0.05520800766263763,0.0,0.0,0.16444444444444445,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15.0,1.0,-4.836432222223021,6729.739034588313,-0.046928304583013336,-0.07338371556974917,0.0,0.0,0.16444444444444445,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20.0,0.0,-4.789503917640007,6724.804123457732,0.0,0.0,0.0,0.0,0.16333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20.0,0.25,-4.797664485643154,6726.4359034329755,-0.008160568003146906,-0.024265093009195934,0.0,0.0,0.16333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20.0,0.5,-4.805817468824489,6728.066161041174,-0.016313551184481412,-0.04850754793085212,0.0,0.0,0.16333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20.0,0.75,-4.813962829953314,6729.694888842055,-0.02445891231330677,-0.07272725412569839,0.0,0.0,0.16333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20.0,1.0,-4.822100568987035,6731.322086847609,-0.032596651347027716,-0.09692421177206852,0.0,0.0,0.16333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25.0,0.0,-4.789503917640007,6724.804123457732,0.0,0.0,0.0,0.0,0.16333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25.0,0.25,-4.7945099342783815,6725.805967983986,-0.005006016638374078,-0.014897750296686196,0.0,0.0,0.16333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
