episode,return,return_per_step,economic_cost_mean,economic_reward_mean,projection_penalty_mean,mapping_penalty_mean,feasible_action_mapping_rate,residual_feasible_scale_mean,residual_feasible_scale_min,residual_requested_norm_mean,residual_applied_norm_mean,residual_execution_ratio_mean,move_penalty_mean,safety_penalty_mean,state_excess_squared_mean,input_excess_squared_mean,rpi_excess_squared_mean,violation_rate,robust_operating_region_violation_rate,rpi_violation_rate,disturbance_bound_exceedance_rate,intervention_rate,qp_infeasible_rate,rpi_utilization_peak,alpha,entropy,q_loss,actor_loss,execution_mask_mean,theta_cost_updates,theta_set_update_attempts,theta_set_update_accepts,theta_K_update_attempts,theta_K_update_accepts,theta_K_last_coordinate,theta_K_step_norm,theta_K_last_policy_score,theta_transition_samples,theta_data_hull_vertices,theta_membership_exceedances,theta_pending_uncovered_hull_vertices,theta_h_norm,theta_p_norm,theta_M_norm,theta_K_change_norm,theta_M_angle_deg,theta_td_error_abs_mean,theta_rpi_area,theta_minimum_residual_authority,theta_rpi_area_change_percent,robust_refinement_iterations,robust_refinement_uncovered_count,robust_refinement_max_excess,robust_refinement_relative_rpi_change,robust_region_search_attempts,last_feasible_scale,first_infeasible_scale,first_feasible_scale,minimum_certified_scale,maximum_certified_scale,last_lower_infeasible_scale,first_upper_infeasible_scale,robust_region_residual_hull_vertices,robust_region_max_sample_residual_norm,self_consistency_S_plus_Z_passed,evaluation_return,evaluation_return_per_step,evaluation_economic_cost_mean,evaluation_theta_only_economic_cost_mean,evaluation_safe_sac_economic_cost_mean,evaluation_sac_incremental_cost_reduction_percent,evaluation_residual_requested_norm_mean,evaluation_residual_applied_norm_mean,evaluation_residual_execution_ratio_mean,evaluation_requested_residual_state_dependence_norm,evaluation_applied_residual_state_dependence_norm,evaluation_paper2016_sac_improvement_percent,evaluation_normalized_safe_performance_gap,safe_reference_cost
0,-1436.8511752920022,-4.789503917640007,6724.804123457732,-1.5226195508694673,0.0,0.0,0.0,0.05000000000000026,0.04999999999999994,0.0,0.0,0.0,0.0,3.2668843667705354,0.0,0.0,1.0885005193444162e-06,0.0,0.0,0.16333333333333333,0.0,0.0,0.0,1.0020289459619767,0.10000000000000002,nan,nan,nan,1.0,0.0,648.0,2.0,1481.0,461.0,-1.0,0.223159136044214,nan,0.0,13.0,0.0,0.0,0.0,0.0,59116.021416839234,0.6690638882999602,1.0,nan,6.3621693960489125,0.04999999999999994,2104.746538885065,13.0,0.0,0.0,nan,13.0,2.2258758544921875,2.44140625,1.0,1.0,2.2258758544921875,nan,2.44140625,13.0,0.0010611044147720117,1.0,-1436.8511752920022,-4.789503917640007,6724.804123457732,6724.804123457732,6724.804123457732,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,6318.316222750188
1,-1787.5776668440928,-5.9585922228136425,6851.997958372527,-2.158588725443429,0.0,0.0,0.0,0.05000000000000026,0.04999999999999994,0.25265659654115097,0.01263282982705754,0.05000000000000026,3.4973702122164967e-06,3.8,0.0,0.0,0.0,0.0,0.0,0.19,0.0,0.0,0.0,0.9865479671324867,0.1,1.065534234046936,162.35772705078125,2.2807765007019043,1.0,0.0,648.0,2.0,1481.0,461.0,-1.0,0.223159136044214,nan,300.0,13.0,0.0,0.0,0.0,0.0,59116.021416839234,0.6690638882999602,1.0,nan,6.3621693960489125,0.04999999999999994,2104.746538885065,13.0,0.0,0.0,nan,13.0,2.2258758544921875,2.44140625,1.0,1.0,2.2258758544921875,nan,2.44140625,13.0,0.0010611044147720117,1.0,-1439.6704955448943,-4.798901651816315,6726.685047030392,6724.804123457732,6726.685047030392,-0.02796993842687996,0.09731805310553825,0.0048659026552769135,0.050000000000000266,0.42902503507007383,0.021451251753504177,-0.02796993842687996,-1.0046272559881497,6318.316222750188
2,-1297.7570884040854,-4.325856961346951,6765.450819688465,-1.7258530320231429,0.0,0.0,0.0,0.05000000000000026,0.04999999999999994,0.26013926998012704,0.013006963499006353,0.05000000000000026,3.929323809871009e-06,2.6,0.0,0.0,0.0,0.0,0.0,0.13,0.0,0.0,0.0,0.9893825903691778,0.1,-1.2031354904174805,9.42612600326538,11.303720474243164,1.0,0.0,648.0,2.0,1481.0,461.0,-1.0,0.223159136044214,nan,600.0,13.0,0.0,0.0,0.0,0.0,59116.021416839234,0.6690638882999602,1.0,nan,6.3621693960489125,0.04999999999999994,2104.746538885065,13.0,0.0,0.0,nan,13.0,2.2258758544921875,2.44140625,1.0,1.0,2.2258758544921875,nan,2.44140625,13.0,0.0010611044147720117,1.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,6318.316222750188
3,-1227.6772613509268,-4.0922575378364225,6558.601210018481,-0.6916049836732259,0.0,0.0,0.0,0.05000000000000026,0.04999999999999994,0.24334399048985972,0.012167199524492982,0.050000000000000266,3.601024787321188e-06,3.4006489531384134,0.0,0.0,3.2447656920661155e-06,0.0,0.0,0.17,0.0,0.0,0.0,1.0311998350575742,0.1,-2.094160556793213,7.942837238311768,12.211962699890137,1.0,0.0,648.0,2.0,1481.0,461.0,-1.0,0.223159136044214,nan,900.0,13.0,0.0,0.0,0.0,0.0,59116.021416839234,0.6690638882999602,1.0,nan,6.3621693960489125,0.04999999999999994,2104.746538885065,13.0,0.0,0.0,nan,13.0,2.2258758544921875,2.44140625,1.0,1.0,2.2258758544921875,nan,2.44140625,13.0,0.0010611044147720117,1.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,6318.316222750188
4,-1225.9512418807458,-4.086504139602486,6557.445665024146,-0.6858272587015489,0.0,0.0,0.0,0.05000000000000026,0.04999999999999994,0.2570123835670132,0.012850619178350666,0.05000000000000026,3.540946723869935e-06,3.4006733399542144,0.0,0.0,3.366699771072412e-06,0.0,0.0,0.17,0.0,0.0,0.0,1.0317806534124414,0.1,-2.8557727336883545,41.120595932006836,13.753047943115234,1.0,0.0,648.0,2.0,1481.0,461.0,-1.0,0.223159136044214,nan,1200.0,13.0,0.0,0.0,0.0,0.0,59116.021416839234,0.6690638882999602,1.0,nan,6.3621693960489125,0.04999999999999994,2104.746538885065,13.0,0.0,0.0,nan,13.0,2.2258758544921875,2.44140625,1.0,1.0,2.2258758544921875,nan,2.44140625,13.0,0.0010611044147720117,1.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,6318.316222750188
5,-1297.8455434711893,-4.3261518115706314,6765.50984989695,-1.7261481830655676,0.0,0.0,0.0,0.05000000000000026,0.04999999999999994,0.2561344599020106,0.012806722995100524,0.05000000000000026,3.628505063793489e-06,2.6,0.0,0.0,0.0,0.0,0.0,0.13,0.0,0.0,0.0,0.9898908453567303,0.1,-2.453239679336548,11.492127895355225,18.35309600830078,1.0,0.0,648.0,2.0,1481.0,461.0,-1.0,0.223159136044214,nan,1500.0,13.0,0.0,0.0,0.0,0.0,59116.021416839234,0.6690638882999602,1.0,nan,6.3621693960489125,0.04999999999999994,2104.746538885065,13.0,0.0,0.0,nan,13.0,2.2258758544921875,2.44140625,1.0,1.0,2.2258758544921875,nan,2.44140625,13.0,0.0010611044147720117,1.0,-1432.0053756358302,-4.773351252119434,6717.122725307408,6724.804123457732,6717.122725307408,0.11422486081832596,0.36725436406909195,0.018362718203454597,0.05000000000000026,24.819679715480362,1.2409839857740173,0.11422486081832596,-0.9811030091253536,6318.316222750188
6,-1785.80613315285,-5.9526871105095,6850.816918648457,-2.1526835268231004,0.0,0.0,0.0,0.05000000000000026,0.04999999999999994,0.25127160095779266,0.012563580047889626,0.05000000000000026,3.583686398135716e-06,3.8,0.0,0.0,0.0,0.0,0.0,0.19,0.0,0.0,0.0,0.985679577352417,0.1,-2.67433762550354,23.044281005859375,26.294313430786133,1.0,0.0,648.0,2.0,1481.0,461.0,-1.0,0.223159136044214,nan,1800.0,13.0,0.0,0.0,0.0,0.0,59116.021416839234,0.6690638882999602,1.0,nan,6.3621693960489125,0.04999999999999994,2104.746538885065,13.0,0.0,0.0,nan,13.0,2.2258758544921875,2.44140625,1.0,1.0,2.2258758544921875,nan,2.44140625,13.0,0.0010611044147720117,1.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,6318.316222750188
7,-1296.9201557867589,-4.323067185955863,6764.892866634163,-1.723063266751611,0.0,0.0,0.0,0.05000000000000026,0.04999999999999994,0.2683476666781531,0.013417383333907644,0.05000000000000026,3.919204250632907e-06,2.6,0.0,0.0,0.0,0.0,0.0,0.13,0.0,0.0,0.0,0.9887124698829319,0.1,-1.223609209060669,12.344082355499268,26.322633743286133,1.0,0.0,648.0,2.0,1481.0,461.0,-1.0,0.223159136044214,nan,2100.0,13.0,0.0,0.0,0.0,0.0,59116.021416839234,0.6690638882999602,1.0,nan,6.3621693960489125,0.04999999999999994,2104.746538885065,13.0,0.0,0.0,nan,13.0,2.2258758544921875,2.44140625,1.0,1.0,2.2258758544921875,nan,2.44140625,13.0,0.0010611044147720117,1.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,6318.316222750188
8,-1787.5839612871491,-5.958613204290497,6852.002094118085,-2.158609404171243,0.0,0.0,0.0,0.05000000000000026,0.04999999999999994,0.2559408018054882,0.012797040090274398,0.05000000000000026,3.800119252448183e-06,3.8,0.0,0.0,0.0,0.0,0.0,0.19,0.0,0.0,0.0,0.9860911052890875,0.09647449105978012,-1.915266990661621,8.708706140518188,31.779308319091797,1.0,0.0,648.0,2.0,1481.0,461.0,-1.0,0.223159136044214,nan,2400.0,13.0,0.0,0.0,0.0,0.0,59116.021416839234,0.6690638882999602,1.0,nan,6.3621693960489125,0.04999999999999994,2104.746538885065,13.0,0.0,0.0,nan,13.0,2.2258758544921875,2.44140625,1.0,1.0,2.2258758544921875,nan,2.44140625,13.0,0.0010611044147720117,1.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,6318.316222750188
9,-1226.769912469186,-4.089233041563953,6557.989710804065,-0.688547487601115,0.0,0.0,0.0,0.05000000000000026,0.04999999999999994,0.24223885492843897,0.012111942746421956,0.05000000000000026,3.391332857410258e-06,3.4006821626299835,0.0,0.0,3.4108131499156115e-06,0.0,0.0,0.17,0.0,0.0,0.0,1.0319881844588699,0.09379570186138153,-1.9814425706863403,11.710844993591309,45.73090744018555,1.0,0.0,648.0,2.0,1481.0,461.0,-1.0,0.223159136044214,nan,2700.0,13.0,0.0,0.0,0.0,0.0,59116.021416839234,0.6690638882999602,1.0,nan,6.3621693960489125,0.04999999999999994,2104.746538885065,13.0,0.0,0.0,nan,13.0,2.2258758544921875,2.44140625,1.0,1.0,2.2258758544921875,nan,2.44140625,13.0,0.0010611044147720117,1.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,6318.316222750188
