episode,return,return_per_step,economic_cost_mean,economic_reward_mean,projection_penalty_mean,mapping_penalty_mean,feasible_action_mapping_rate,residual_feasible_scale_mean,residual_feasible_scale_min,residual_requested_norm_mean,residual_applied_norm_mean,residual_execution_ratio_mean,move_penalty_mean,safety_penalty_mean,state_excess_squared_mean,input_excess_squared_mean,rpi_excess_squared_mean,violation_rate,robust_operating_region_violation_rate,rpi_violation_rate,disturbance_bound_exceedance_rate,intervention_rate,qp_infeasible_rate,rpi_utilization_peak,alpha,entropy,q_loss,actor_loss,execution_mask_mean,theta_cost_updates,theta_set_update_attempts,theta_set_update_accepts,theta_K_update_attempts,theta_K_update_accepts,theta_K_last_coordinate,theta_K_step_norm,theta_K_last_policy_score,theta_transition_samples,theta_data_hull_vertices,theta_membership_exceedances,theta_pending_uncovered_hull_vertices,theta_h_norm,theta_p_norm,theta_M_norm,theta_K_change_norm,theta_M_angle_deg,theta_td_error_abs_mean,theta_rpi_area,theta_rpi_area_change_percent,robust_refinement_iterations,robust_refinement_uncovered_count,robust_refinement_max_excess,robust_refinement_relative_rpi_change,robust_region_search_attempts,last_feasible_scale,first_infeasible_scale,first_feasible_scale,minimum_certified_scale,maximum_certified_scale,last_lower_infeasible_scale,first_upper_infeasible_scale,robust_region_residual_hull_vertices,robust_region_max_sample_residual_norm,self_consistency_S_plus_Z_passed,evaluation_return,evaluation_return_per_step,evaluation_economic_cost_mean,evaluation_theta_only_economic_cost_mean,evaluation_safe_sac_economic_cost_mean,evaluation_sac_incremental_cost_reduction_percent,evaluation_paper2016_sac_improvement_percent,evaluation_normalized_safe_performance_gap,safe_reference_cost
0,-2408.2721254690055,-8.02757375156335,6687.73004647307,-1.3372491659461805,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.690324585617169,0.0,0.0,7.178483641401279e-06,0.0,0.0,0.08444444444444443,0.0,0.0,1.0,0.7564886202069395,0.10000000000000002,nan,nan,nan,0.0,0.0,648.0,2.0,1481.0,461.0,-1.0,0.223159136044214,nan,0.0,13.0,0.0,0.0,0.0,0.0,59116.021416839234,0.6690638882999602,1.0,nan,6.3621693960489125,2104.746538885065,13.0,0.0,0.0,nan,13.0,2.2258758544921875,2.44140625,1.0,1.0,2.2258758544921875,nan,2.44140625,13.0,0.0010611044147720117,1.0,-2408.2721254690055,-8.02757375156335,6687.73004647307,6687.73004647307,6687.73004647307,0.0,0.0,-1.0,6318.316222750188
1,-2378.056022526774,-1.189028011263387,6472.585740564947,-0.2615276364055114,0.0,0.0,0.0,0.04195728323489445,0.0,0.0851378478876631,0.003566571883074065,0.04195728323489446,3.7485787326050474e-07,0.9275,0.0,0.0,0.0,0.0,0.0,0.0015,0.0,0.0,0.1795,0.47473984860623014,0.1,0.9404070377349854,0.012184583581984043,-1.9429590702056885,0.8205,0.0,648.0,2.0,1481.0,461.0,-1.0,0.223159136044214,nan,2000.0,13.0,0.0,0.0,0.0,0.0,59116.021416839234,0.6690638882999602,1.0,nan,6.3621693960489125,2104.746538885065,13.0,0.0,0.0,nan,13.0,2.2258758544921875,2.44140625,1.0,1.0,2.2258758544921875,nan,2.44140625,13.0,0.0010611044147720117,1.0,-2408.2721254690055,-8.02757375156335,6687.73004647307,6687.73004647307,6687.73004647307,0.0,0.0,-1.0,6318.316222750188
2,-2403.74024675547,-1.201870123377735,6469.1541695891665,-0.2443697815267218,0.0,0.0,0.0,0.041944549430630106,0.0,0.0830728120204311,0.003453868965650881,0.0419445494306301,3.418510155063565e-07,0.9575,0.0,0.0,0.0,0.0,0.0,0.003,0.0,0.0,0.1795,0.7177824826877868,0.061380740255117416,0.00966870691627264,0.023040390573441982,-3.59637188911438,0.8205,0.0,648.0,2.0,1481.0,461.0,-1.0,0.223159136044214,nan,4000.0,13.0,0.0,0.0,0.0,0.0,59116.021416839234,0.6690638882999602,1.0,nan,6.3621693960489125,2104.746538885065,13.0,0.0,0.0,nan,13.0,2.2258758544921875,2.44140625,1.0,1.0,2.2258758544921875,nan,2.44140625,13.0,0.0010611044147720117,1.0,nan,nan,nan,nan,nan,nan,nan,nan,6318.316222750188
3,-3225.3377876540194,-1.6126688938270097,6429.184724211136,-0.044522554636543546,0.0,0.0,0.0,0.04199042125929279,0.0,0.0962113996341337,0.004116299140850759,0.04199042125929279,2.7566273984167044e-07,1.5681460635277262,0.0,0.0,3.2303176386305754e-06,0.0,0.0,0.0335,0.0,0.0,0.1795,1.0769435293268013,0.036748312413692474,-0.8012819886207581,0.03613602928817272,-5.527739524841309,0.8205,0.0,648.0,2.0,1481.0,461.0,-1.0,0.223159136044214,nan,6000.0,13.0,0.0,0.0,0.0,0.0,59116.021416839234,0.6690638882999602,1.0,nan,6.3621693960489125,2104.746538885065,13.0,0.0,0.0,nan,13.0,2.2258758544921875,2.44140625,1.0,1.0,2.2258758544921875,nan,2.44140625,13.0,0.0010611044147720117,1.0,nan,nan,nan,nan,nan,nan,nan,nan,6318.316222750188
4,-2371.793649972704,-1.185896824986352,6471.959547496021,-0.258396671060943,0.0,0.0,0.0,0.04208315677688388,0.0,0.11668241322375576,0.004782422804344128,0.04208315677688388,1.5392540828275365e-07,0.9275,0.0,0.0,0.0,0.0,0.0,0.0015,0.0,0.0,0.1795,0.47473984860623014,0.02148941159248352,-0.8922715783119202,0.04147022217512131,-6.34311580657959,0.8205,0.0,648.0,2.0,1481.0,461.0,-1.0,0.223159136044214,nan,8000.0,13.0,0.0,0.0,0.0,0.0,59116.021416839234,0.6690638882999602,1.0,nan,6.3621693960489125,2104.746538885065,13.0,0.0,0.0,nan,13.0,2.2258758544921875,2.44140625,1.0,1.0,2.2258758544921875,nan,2.44140625,13.0,0.0010611044147720117,1.0,nan,nan,nan,nan,nan,nan,nan,nan,6318.316222750188
5,-2395.077626242121,-1.1975388131210605,6468.287960886295,-0.2400387380122957,0.0,0.0,0.0,0.04193373219101312,0.0,0.11607350917797729,0.004632603863333123,0.04193373219101313,7.510876511242052e-08,0.9575,0.0,0.0,0.0,0.0,0.0,0.003,0.0,0.0,0.1795,0.7177824826877868,0.012243086472153664,-1.1177549362182617,0.03747914358973503,-7.907799243927002,0.8205,0.0,648.0,2.0,1481.0,461.0,-1.0,0.223159136044214,nan,10000.0,13.0,0.0,0.0,0.0,0.0,59116.021416839234,0.6690638882999602,1.0,nan,6.3621693960489125,2104.746538885065,13.0,0.0,0.0,nan,13.0,2.2258758544921875,2.44140625,1.0,1.0,2.2258758544921875,nan,2.44140625,13.0,0.0010611044147720117,1.0,-2408.2721254690055,-8.02757375156335,6687.73004647307,6687.73004647307,6687.73004647307,0.0,0.0,-1.0,6318.316222750188
6,-3222.3048694727386,-1.6111524347363693,6428.881461916737,-0.043006243164511106,0.0,0.0,0.0,0.042065261756395335,0.0,0.12217180922806704,0.005047707225949551,0.042065261756395335,1.2804413185680983e-07,1.5681460635277262,0.0,0.0,3.2303176386305754e-06,0.0,0.0,0.0335,0.0,0.0,0.1795,1.0769435293268013,0.01189811248332262,-2.854909658432007,0.026068554259836674,-8.190543174743652,0.8205,0.0,648.0,2.0,1481.0,461.0,-1.0,0.223159136044214,nan,12000.0,13.0,0.0,0.0,0.0,0.0,59116.021416839234,0.6690638882999602,1.0,nan,6.3621693960489125,2104.746538885065,13.0,0.0,0.0,nan,13.0,2.2258758544921875,2.44140625,1.0,1.0,2.2258758544921875,nan,2.44140625,13.0,0.0010611044147720117,1.0,nan,nan,nan,nan,nan,nan,nan,nan,6318.316222750188
7,-2372.55252122735,-1.186276260613675,6472.0354532923675,-0.2587762000425833,0.0,0.0,0.0,0.04217192900858637,0.0,0.1293245790776969,0.005336024306935261,0.04217192900858637,6.057108919188653e-08,0.9275,0.0,0.0,0.0,0.0,0.0,0.0015,0.0,0.0,0.1795,0.47473984860623014,0.011368491686880589,-3.4089717864990234,0.021255943924188614,-7.031160354614258,0.8205,0.0,648.0,2.0,1481.0,461.0,-1.0,0.223159136044214,nan,14000.0,13.0,0.0,0.0,0.0,0.0,59116.021416839234,0.6690638882999602,1.0,nan,6.3621693960489125,2104.746538885065,13.0,0.0,0.0,nan,13.0,2.2258758544921875,2.44140625,1.0,1.0,2.2258758544921875,nan,2.44140625,13.0,0.0010611044147720117,1.0,nan,nan,nan,nan,nan,nan,nan,nan,6318.316222750188
8,-2394.840833608862,-1.197420416804431,6468.264274541781,-0.2399203062897813,0.0,0.0,0.0,0.04192775500042869,0.0,0.1221450143035707,0.004917857430889021,0.041927755000428675,1.1051465366562809e-07,0.9575,0.0,0.0,0.0,0.0,0.0,0.003,0.0,0.0,0.1795,0.7177824826877868,0.006922448519617319,-1.6504955291748047,0.026972943916916847,-7.900250434875488,0.8205,0.0,648.0,2.0,1481.0,461.0,-1.0,0.223159136044214,nan,16000.0,13.0,0.0,0.0,0.0,0.0,59116.021416839234,0.6690638882999602,1.0,nan,6.3621693960489125,2104.746538885065,13.0,0.0,0.0,nan,13.0,2.2258758544921875,2.44140625,1.0,1.0,2.2258758544921875,nan,2.44140625,13.0,0.0010611044147720117,1.0,nan,nan,nan,nan,nan,nan,nan,nan,6318.316222750188
9,-3223.007940705419,-1.6115039703527094,6428.951778157569,-0.043357824368674934,0.0,0.0,0.0,0.042152189029459636,0.0,0.13379162700796418,0.005642013551966829,0.042152189029459636,8.245630910553144e-08,1.5681460635277262,0.0,0.0,3.2303176386305754e-06,0.0,0.0,0.0335,0.0,0.0,0.1795,1.0769435293268013,0.00814505573362112,-2.749332904815674,0.029968694783747196,-7.858415603637695,0.8205,0.0,648.0,2.0,1481.0,461.0,-1.0,0.223159136044214,nan,18000.0,13.0,0.0,0.0,0.0,0.0,59116.021416839234,0.6690638882999602,1.0,nan,6.3621693960489125,2104.746538885065,13.0,0.0,0.0,nan,13.0,2.2258758544921875,2.44140625,1.0,1.0,2.2258758544921875,nan,2.44140625,13.0,0.0010611044147720117,1.0,nan,nan,nan,nan,nan,nan,nan,nan,6318.316222750188
