episode,return,return_per_step,economic_cost_mean,economic_reward_mean,projection_penalty_mean,mapping_penalty_mean,feasible_action_mapping_rate,residual_feasible_scale_mean,residual_feasible_scale_min,residual_requested_norm_mean,residual_applied_norm_mean,residual_execution_ratio_mean,move_penalty_mean,safety_penalty_mean,state_excess_squared_mean,input_excess_squared_mean,rpi_excess_squared_mean,violation_rate,robust_operating_region_violation_rate,rpi_violation_rate,disturbance_bound_exceedance_rate,intervention_rate,qp_infeasible_rate,rpi_utilization_peak,alpha,entropy,q_loss,actor_loss,execution_mask_mean,theta_cost_updates,theta_set_update_attempts,theta_set_update_accepts,theta_K_update_attempts,theta_K_update_accepts,theta_K_last_coordinate,theta_K_step_norm,theta_K_last_policy_score,theta_transition_samples,theta_data_hull_vertices,theta_membership_exceedances,theta_pending_uncovered_hull_vertices,theta_h_norm,theta_p_norm,theta_M_norm,theta_K_change_norm,theta_M_angle_deg,theta_td_error_abs_mean,theta_rpi_area,theta_minimum_residual_authority,theta_rpi_area_change_percent,robust_refinement_iterations,robust_refinement_uncovered_count,robust_refinement_max_excess,robust_refinement_relative_rpi_change,robust_region_search_attempts,last_feasible_scale,first_infeasible_scale,first_feasible_scale,minimum_certified_scale,maximum_certified_scale,last_lower_infeasible_scale,first_upper_infeasible_scale,robust_region_residual_hull_vertices,robust_region_max_sample_residual_norm,self_consistency_S_plus_Z_passed,evaluation_return,evaluation_return_per_step,evaluation_economic_cost_mean,evaluation_theta_only_economic_cost_mean,evaluation_safe_sac_economic_cost_mean,evaluation_sac_incremental_cost_reduction_percent,evaluation_paper2016_sac_improvement_percent,evaluation_normalized_safe_performance_gap,safe_reference_cost
0,-1437.8898792080456,-4.79296626402682,6725.49674785207,-1.5260826728411538,0.0,0.0,0.0,0.05591477568833101,0.04999999999999994,0.0,0.0,0.0,0.0,3.2668835911856626,0.0,0.0,1.0846225949787376e-06,0.0,0.0,0.16333333333333333,0.0,0.0,0.0,1.0024266872006613,0.10000000000000002,nan,nan,nan,1.0,0.0,648.0,4.0,1531.0,606.0,-1.0,0.223159136044214,nan,0.0,14.0,0.0,0.0,0.0,0.0,61594.78384890838,0.6690638882999602,1.0,nan,6.3483804780816255,0.04999999999999985,2100.0069366273297,13.0,0.0,0.0,nan,13.0,2.2258758544921875,2.44140625,1.0,1.0,2.2258758544921875,nan,2.44140625,14.0,0.0010611044147720117,1.0,-1437.8898792080456,-4.79296626402682,6725.49674785207,6725.49674785207,6725.49674785207,0.0,0.0,-1.0,6318.3204588683075
1,-1298.7022773903755,-4.329007591301251,6766.0816249007385,-1.7290070580845114,0.0,0.0,0.0,0.05591721774425229,0.04999999999999994,0.08281008913995212,0.004630045756155822,0.055917217744252276,5.332167416314604e-07,2.6,0.0,0.0,0.0,0.0,0.0,0.13,0.0,0.0,0.0,0.9897336788555487,0.1,0.7918213605880737,85.68681335449219,2.1295859813690186,1.0,0.0,648.0,4.0,1531.0,606.0,-1.0,0.223159136044214,nan,300.0,14.0,0.0,0.0,0.0,0.0,61594.78384890838,0.6690638882999602,1.0,nan,6.3483804780816255,0.04999999999999985,2100.0069366273297,13.0,0.0,0.0,nan,13.0,2.2258758544921875,2.44140625,1.0,1.0,2.2258758544921875,nan,2.44140625,14.0,0.0010611044147720117,1.0,-1439.1520114607563,-4.797173371535854,6726.338781015566,6725.49674785207,6726.338781015566,-0.012520014432614912,-0.012520014432614912,-1.0020679818208416,6318.3204588683075
2,-1227.2921634599145,-4.090973878199715,6558.345431062358,-0.6903260888926138,0.0,0.0,0.0,0.05591411023912873,0.04999999999999994,0.0825695750471149,0.004619358322218878,0.05591411023912871,4.793304869294242e-07,3.400647309976613,0.0,0.0,3.2365498830663782e-06,0.0,0.0,0.17,0.0,0.0,0.0,1.0311603107320821,0.1,-0.057099662721157074,15.375265121459961,9.085466384887695,1.0,0.0,648.0,4.0,1531.0,606.0,-1.0,0.223159136044214,nan,600.0,14.0,0.0,0.0,0.0,0.0,61594.78384890838,0.6690638882999602,1.0,nan,6.3483804780816255,0.04999999999999985,2100.0069366273297,13.0,0.0,0.0,nan,13.0,2.2258758544921875,2.44140625,1.0,1.0,2.2258758544921875,nan,2.44140625,14.0,0.0010611044147720117,1.0,nan,nan,nan,nan,nan,nan,nan,nan,6318.3204588683075
3,-1787.6295603390715,-5.958765201130238,6852.033146815186,-2.1587646676567527,0.0,0.0,0.0,0.05591840693899073,0.04999999999999994,0.08425922934321685,0.00471853237663729,0.05591840693899073,5.33473490076299e-07,3.8,0.0,0.0,0.0,0.0,0.0,0.19,0.0,0.0,0.0,0.986375267368652,0.1,-0.4420948028564453,19.375788688659668,17.346603393554688,1.0,0.0,648.0,4.0,1531.0,606.0,-1.0,0.223159136044214,nan,900.0,14.0,0.0,0.0,0.0,0.0,61594.78384890838,0.6690638882999602,1.0,nan,6.3483804780816255,0.04999999999999985,2100.0069366273297,13.0,0.0,0.0,nan,13.0,2.2258758544921875,2.44140625,1.0,1.0,2.2258758544921875,nan,2.44140625,14.0,0.0010611044147720117,1.0,nan,nan,nan,nan,nan,nan,nan,nan,6318.3204588683075
4,-1787.7961079885526,-5.9593203599618425,6852.144178898542,-2.1593198280735133,0.0,0.0,0.0,0.05591788285207691,0.04999999999999994,0.08629824218773571,0.004825456276233162,0.055917882852076925,5.318883256999555e-07,3.8,0.0,0.0,0.0,0.0,0.0,0.19,0.0,0.0,0.0,0.9861019338031368,0.1,-2.6140782833099365,19.46849536895752,24.24439811706543,1.0,0.0,648.0,4.0,1531.0,606.0,-1.0,0.223159136044214,nan,1200.0,14.0,0.0,0.0,0.0,0.0,61594.78384890838,0.6690638882999602,1.0,nan,6.3483804780816255,0.04999999999999985,2100.0069366273297,13.0,0.0,0.0,nan,13.0,2.2258758544921875,2.44140625,1.0,1.0,2.2258758544921875,nan,2.44140625,14.0,0.0010611044147720117,1.0,nan,nan,nan,nan,nan,nan,nan,nan,6318.3204588683075
5,-1298.701394883168,-4.329004649610559,6766.081040923284,-1.7290041381972472,0.0,0.0,0.0,0.05591039393890753,0.04999999999999994,0.08652134976366946,0.004843211622165204,0.05591039393890752,5.114133178093493e-07,2.6,0.0,0.0,0.0,0.0,0.0,0.13,0.0,0.0,0.0,0.9894705052977777,0.1,-2.6679985523223877,9.490079879760742,31.155452728271484,1.0,0.0,648.0,4.0,1531.0,606.0,-1.0,0.223159136044214,nan,1500.0,14.0,0.0,0.0,0.0,0.0,61594.78384890838,0.6690638882999602,1.0,nan,6.3483804780816255,0.04999999999999985,2100.0069366273297,13.0,0.0,0.0,nan,13.0,2.2258758544921875,2.44140625,1.0,1.0,2.2258758544921875,nan,2.44140625,14.0,0.0010611044147720117,1.0,-1434.333579563675,-4.781111931878916,6723.123482235939,6725.49674785207,6723.123482235939,0.035287588487630236,0.035287588487630236,-0.9941714051619895,6318.3204588683075
6,-1227.2474275912418,-4.090824758637472,6558.312412306958,-0.6901609951156044,0.0,0.0,0.0,0.05591876764668229,0.04999999999999994,0.08190046395648282,0.004587678890161303,0.055918767646682285,4.937253937677864e-07,3.4006632697964774,0.0,0.0,3.316348982386681e-06,0.0,0.0,0.17,0.0,0.0,0.0,1.0315421098646873,0.1,-1.00044846534729,15.76168155670166,36.244808197021484,1.0,0.0,648.0,4.0,1531.0,606.0,-1.0,0.223159136044214,nan,1800.0,14.0,0.0,0.0,0.0,0.0,61594.78384890838,0.6690638882999602,1.0,nan,6.3483804780816255,0.04999999999999985,2100.0069366273297,13.0,0.0,0.0,nan,13.0,2.2258758544921875,2.44140625,1.0,1.0,2.2258758544921875,nan,2.44140625,14.0,0.0010611044147720117,1.0,nan,nan,nan,nan,nan,nan,nan,nan,6318.3204588683075
7,-1227.7974837650386,-4.092658279216796,6558.681383153368,-0.6920058493476856,0.0,0.0,0.0,0.05590943143938853,0.04999999999999994,0.09193090576955826,0.005144608078424196,0.055909431439388514,5.756211338705917e-07,3.400651854247984,0.0,0.0,3.2592712399212396e-06,0.0,0.0,0.17,0.0,0.0,0.0,1.0312694958701987,0.1,-0.2491796761751175,11.6014404296875,37.86003494262695,1.0,0.0,648.0,4.0,1531.0,606.0,-1.0,0.223159136044214,nan,2100.0,14.0,0.0,0.0,0.0,0.0,61594.78384890838,0.6690638882999602,1.0,nan,6.3483804780816255,0.04999999999999985,2100.0069366273297,13.0,0.0,0.0,nan,13.0,2.2258758544921875,2.44140625,1.0,1.0,2.2258758544921875,nan,2.44140625,14.0,0.0010611044147720117,1.0,nan,nan,nan,nan,nan,nan,nan,nan,6318.3204588683075
8,-1787.498615148374,-5.958328717161247,6851.945863218607,-2.158328249673842,0.0,0.0,0.0,0.05590997961220323,0.04999999999999994,0.08250731927537461,0.004613513892034626,0.055909979612203224,4.674874026066674e-07,3.8,0.0,0.0,0.0,0.0,0.0,0.19,0.0,0.0,0.0,0.9863993899346348,0.0955796167254448,-0.33815085887908936,8.797844886779785,37.804290771484375,1.0,0.0,648.0,4.0,1531.0,606.0,-1.0,0.223159136044214,nan,2400.0,14.0,0.0,0.0,0.0,0.0,61594.78384890838,0.6690638882999602,1.0,nan,6.3483804780816255,0.04999999999999985,2100.0069366273297,13.0,0.0,0.0,nan,13.0,2.2258758544921875,2.44140625,1.0,1.0,2.2258758544921875,nan,2.44140625,14.0,0.0010611044147720117,1.0,nan,nan,nan,nan,nan,nan,nan,nan,6318.3204588683075
9,-1298.5206434763504,-4.328402144921168,6765.960543188853,-1.7284016495250516,0.0,0.0,0.0,0.05591307377007851,0.04999999999999994,0.08337919114937034,0.0046650792874928446,0.05591307377007852,4.953961124544838e-07,2.6,0.0,0.0,0.0,0.0,0.0,0.13,0.0,0.0,0.0,0.9897856076615286,0.08922573924064636,-0.9044833779335022,39.23409461975098,52.740325927734375,1.0,0.0,648.0,4.0,1531.0,606.0,-1.0,0.223159136044214,nan,2700.0,14.0,0.0,0.0,0.0,0.0,61594.78384890838,0.6690638882999602,1.0,nan,6.3483804780816255,0.04999999999999985,2100.0069366273297,13.0,0.0,0.0,nan,13.0,2.2258758544921875,2.44140625,1.0,1.0,2.2258758544921875,nan,2.44140625,14.0,0.0010611044147720117,1.0,nan,nan,nan,nan,nan,nan,nan,nan,6318.3204588683075
