episode,policy_scale,return_per_step,economic_cost_mean,incremental_return_per_step,economic_cost_reduction_percent,violation_rate,robust_operating_region_violation_rate,rpi_violation_rate,qp_infeasible_rate,disturbance_bound_exceedance_rate,intervention_rate,mapping_rate,safe,positive_increment,practically_significant,eligible
0.0,0.0,-4.79292918649664,6725.486783250374,0.0,0.0,0.0,0.0,0.16333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1.0,0.0,-4.79292918649664,6725.486783250374,0.0,0.0,0.0,0.0,0.16333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,0.25,-4.792554519486537,6725.411747945643,0.0003746670101030247,0.0011156858551617918,0.0,0.0,0.16333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,0.5,-4.792179698471689,6725.336681725884,0.0007494880249510061,0.0022318313800591136,0.0,0.0,0.16333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,0.75,-4.791804723373813,6725.2615845754435,0.0011244631228271018,0.0033484368074516648,0.0,0.0,0.16333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,1.0,-4.791429594118587,6725.186456479455,0.001499592378053194,0.004465502358388135,0.0,0.0,0.16333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5.0,0.0,-4.79292918649664,6725.486783250374,0.0,0.0,0.0,0.0,0.16333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5.0,0.25,-4.791179355423432,6725.136195856331,0.0017498310732086964,0.005212818125167676,0.0,0.0,0.16333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5.0,0.5,-4.7894271015512695,6724.785119072018,0.0035020849453708536,0.01043291290236562,0.0,0.0,0.16333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5.0,0.75,-4.787671923185738,6724.433452550438,0.00525726331090226,0.01566177637222082,0.0,0.0,0.16333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5.0,1.0,-4.785914604879083,6724.0813531942695,0.007014581617557525,0.020897075578304423,0.0,0.0,0.16333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10.0,0.0,-4.79292918649664,6725.486783250374,0.0,0.0,0.0,0.0,0.16333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10.0,0.25,-4.794832287684266,6725.866770743373,-0.001903101187625822,-0.00564996267549707,0.0,0.0,0.16333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10.0,0.5,-4.796733311361657,6726.24633752578,-0.0038041248650166892,-0.011293669884204731,0.0,0.0,0.16333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10.0,0.75,-4.798631730462233,6726.625378199282,-0.005702543965592888,-0.01692955447839558,0.0,0.0,0.16333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10.0,1.0,-4.800528342731988,6727.004052339493,-0.0075991562353472375,-0.02255998915791959,0.0,0.0,0.16333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15.0,0.0,-4.79292918649664,6725.486783250374,0.0,0.0,0.0,0.0,0.16333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15.0,0.25,-4.795223813939517,6725.945079414745,-0.0022946274428763402,-0.006814319604527699,0.0,0.0,0.16333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15.0,0.5,-4.797518044568936,6726.403290920975,-0.0045888580722959205,-0.013627380443060451,0.0,0.0,0.16333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15.0,0.75,-4.799811290405656,6726.861300203568,-0.006882103909015669,-0.020437434456300693,0.0,0.0,0.16333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15.0,1.0,-4.8021043546780335,6727.319267940457,-0.00917516818139319,-0.02724687073427858,0.0,0.0,0.16333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20.0,0.0,-4.79292918649664,6725.486783250374,0.0,0.0,0.0,0.0,0.16333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20.0,0.25,-4.795452891357487,6725.991268862628,-0.002523704860847076,-0.00750110183117802,0.0,0.0,0.16333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20.0,0.5,-4.79797841435739,6726.496116011763,-0.005049227860749461,-0.015007579286339407,0.0,0.0,0.16333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20.0,0.75,-4.800505739013748,6727.0013214276705,-0.007576552517107871,-0.022519383742872816,0.0,0.0,0.16333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20.0,1.0,-4.803034857552433,6727.506883579772,-0.01010567105579252,-0.030036492442878513,0.0,0.0,0.16333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25.0,0.0,-4.79292918649664,6725.486783250374,0.0,0.0,0.0,0.0,0.16333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25.0,0.25,-4.794261953731467,6725.752927174453,-0.0013327672348264485,-0.003957244027926892,0.0,0.0,0.16333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25.0,0.5,-4.795596420446029,6726.019408655565,-0.0026672339493885033,-0.007919507127976472,0.0,0.0,0.16333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25.0,0.75,-4.796932603654142,6726.286231124711,-0.00400341715750141,-0.011886840315078664,0.0,0.0,0.16333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25.0,1.0,-4.798270509232453,6726.553395780931,-0.005341322735812781,-0.015859261417528348,0.0,0.0,0.16333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30.0,0.0,-4.79292918649664,6725.486783250374,0.0,0.0,0.0,0.0,0.16333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30.0,0.25,-4.794068909762829,6725.714532648029,-0.001139723266188497,-0.0033863630246305683,0.0,0.0,0.16333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30.0,0.5,-4.7952051134791285,6725.941576882872,-0.00227592698248813,-0.0067622411158493,0.0,0.0,0.16333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30.0,0.75,-4.796337794116204,6726.167915226662,-0.0034086076195638526,-0.010127623445556526,0.0,0.0,0.16333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30.0,1.0,-4.797467016656252,6726.393560665347,-0.004537830159611289,-0.013482703099363287,0.0,0.0,0.16333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
35.0,0.0,-4.79292918649664,6725.486783250374,0.0,0.0,0.0,0.0,0.16333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
35.0,0.25,-4.794725117559545,6725.845647690051,-0.0017959310629045433,-0.005335887962349092,0.0,0.0,0.16333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
35.0,0.5,-4.796516593851014,6726.203621012285,-0.003587407354373795,-0.010658526066785249,0.0,0.0,0.16333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
35.0,0.75,-4.798303424782353,6726.5606650504415,-0.005374238285712707,-0.015967346820779642,0.0,0.0,0.16333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
35.0,1.0,-4.800085433513773,6726.916744230383,-0.0071562470171322445,-0.021261821279173473,0.0,0.0,0.16333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
