episode,return,return_per_step,economic_cost_mean,economic_reward_mean,projection_penalty_mean,mapping_penalty_mean,feasible_action_mapping_rate,move_penalty_mean,safety_penalty_mean,state_excess_squared_mean,input_excess_squared_mean,rpi_excess_squared_mean,violation_rate,rpi_violation_rate,disturbance_bound_exceedance_rate,intervention_rate,qp_infeasible_rate,rpi_utilization_peak,alpha,entropy,q_loss,actor_loss,execution_mask_mean,theta_cost_updates,theta_set_update_attempts,theta_set_update_accepts,theta_K_update_attempts,theta_K_update_accepts,theta_K_last_coordinate,theta_K_step_norm,theta_K_last_policy_score,theta_transition_samples,theta_data_hull_vertices,theta_membership_exceedances,theta_pending_uncovered_hull_vertices,theta_h_norm,theta_p_norm,theta_M_norm,theta_K_change_norm,theta_M_angle_deg,theta_td_error_abs_mean,theta_rpi_area,theta_rpi_area_change_percent,evaluation_return,evaluation_return_per_step,evaluation_economic_cost_mean,evaluation_theta_only_economic_cost_mean,evaluation_safe_sac_economic_cost_mean,evaluation_sac_incremental_cost_reduction_percent,evaluation_normalized_safe_performance_gap,safe_reference_cost
0,-1825.978559358475,-0.9129892796792376,6393.164895858209,-0.9129892796792376,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10813762484997842,0.10000000000000002,nan,nan,nan,1.0,0.0,72.0,1.0,164.0,35.0,0.0,0.002,0.2839597072050584,0.0,16.0,0.0,0.0,0.0,0.0,355.01875607297603,0.9347801370847534,7.0,nan,19.184390194661116,-19.525707978098865,-1825.978559358475,-0.9129892796792376,6393.164895858209,6393.164895858209,6393.164895858209,0.0,-1.0,6389.039849542907
1,-1792.5425603909923,-0.8962712801954962,6389.622672202073,-0.8952781613985729,0.0,0.0009507853922660969,0.694,4.233340465721565e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09043736326781511,0.1,1.1343777179718018,0.787889689207077,5.519351959228516,1.0,0.0,72.0,1.0,164.0,35.0,0.0,0.002,0.2839597072050584,2000.0,15.0,1.0,0.0,0.0,0.0,355.01875607297603,0.9347801370847534,7.0,nan,19.184390194661116,-19.525707978098865,-1827.091433518938,-0.913545716759469,6393.164895858209,6393.164895858209,6393.164895858209,0.0,-1.0,6389.039849542907
2,-1800.4976476434472,-0.9002488238217236,6390.420782343592,-0.8992687121061199,0.0,0.0009392338414064369,0.6835,4.087787419972854e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0821285647370083,0.06151210516691208,-1.1350457668304443,1.6073231101036072,12.246865272521973,1.0,0.0,72.0,1.0,164.0,35.0,0.0,0.002,0.2839597072050584,4000.0,15.0,1.0,0.0,0.0,0.0,355.01875607297603,0.9347801370847534,7.0,nan,19.184390194661116,-19.525707978098865,nan,nan,nan,nan,nan,nan,nan,6389.039849542907
3,-1727.2235476786254,-0.8636117738393128,6383.157939799587,-0.8629544993860757,0.0,0.0006298004435105555,0.6585,2.747400972682529e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09385669099175065,0.04193717986345291,0.47195109724998474,3.110846519470215,18.41128158569336,1.0,0.0,72.0,1.0,164.0,35.0,0.0,0.002,0.2839597072050584,6000.0,15.0,1.0,0.0,0.0,0.0,355.01875607297603,0.9347801370847534,7.0,nan,19.184390194661116,-19.525707978098865,nan,nan,nan,nan,nan,nan,nan,6389.039849542907
4,-1798.2101934735338,-0.8991050967367669,6390.299173464557,-0.898660667711053,0.0,0.00042768561574096177,0.6305,1.6743409971603285e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09446347515412937,0.022717177867889404,-0.31213676929473877,2.6401230096817017,24.27788543701172,1.0,0.0,72.0,1.0,164.0,35.0,0.0,0.002,0.2839597072050584,8000.0,15.0,1.0,0.0,0.0,0.0,355.01875607297603,0.9347801370847534,7.0,nan,19.184390194661116,-19.525707978098865,nan,nan,nan,nan,nan,nan,nan,6389.039849542907
5,-1842.2314676750939,-0.921115733837547,6394.709925831067,-0.920714429543516,0.0,0.0003940409547496589,0.905,7.263339281805413e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07912748297743497,0.024759361520409584,-2.600051164627075,2.8625686168670654,28.587745666503906,1.0,0.0,72.0,1.0,164.0,35.0,0.0,0.002,0.2839597072050584,10000.0,15.0,1.0,0.0,0.0,0.0,355.01875607297603,0.9347801370847534,7.0,nan,19.184390194661116,-19.525707978098865,-1830.0888988630174,-0.9150444494315085,6393.503680536703,6393.164895858209,6393.503680536703,-0.005299170035689516,-1.082128696891672,6389.039849542907
6,-1776.325866632241,-0.8881629333161205,6388.136620722194,-0.8878479039991635,0.0,0.00031055658445388777,0.9925,4.472732502876017e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08294914108707803,0.029775729402899742,-1.952083706855774,9.636836051940918,32.969581604003906,1.0,0.0,72.0,1.0,164.0,35.0,0.0,0.002,0.2839597072050584,12000.0,16.0,2.0,0.0,0.0,0.0,355.01875607297603,0.9347801370847534,7.0,nan,19.184390194661116,-19.525707978098865,nan,nan,nan,nan,nan,nan,nan,6389.039849542907
7,-1899.3600829279642,-0.9496800414639821,6400.4182184975125,-0.9492558928758128,0.0,0.00031859625075527395,0.5345,0.0001055523374167464,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08892327882029749,0.03813091665506363,-2.4589791297912598,5.188195705413818,36.81669616699219,1.0,0.0,72.0,1.0,164.0,35.0,0.0,0.002,0.2839597072050584,14000.0,16.0,2.0,0.0,0.0,0.0,355.01875607297603,0.9347801370847534,7.0,nan,19.184390194661116,-19.525707978098865,nan,nan,nan,nan,nan,nan,nan,6389.039849542907
8,-1909.252961683984,-0.954626480841992,6401.423203715203,-0.9542808189641276,0.0,0.00023521386401045296,0.4515,0.0001104480138543552,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0997202652896315,0.02510044351220131,-1.204476237297058,8.279939651489258,39.18870162963867,1.0,0.0,72.0,1.0,164.0,35.0,0.0,0.002,0.2839597072050584,16000.0,16.0,2.0,0.0,0.0,0.0,355.01875607297603,0.9347801370847534,7.0,nan,19.184390194661116,-19.525707978098865,nan,nan,nan,nan,nan,nan,nan,6389.039849542907
9,-1775.5767132492274,-0.8877883566246138,6388.10795450292,-0.887704572902811,0.0,3.687121359928556e-05,0.2035,4.691250820550579e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10106278720457981,0.03009810671210289,-2.503229856491089,1.1948476433753967,42.6143684387207,1.0,0.0,72.0,1.0,164.0,35.0,0.0,0.002,0.2839597072050584,18000.0,16.0,2.0,0.0,0.0,0.0,355.01875607297603,0.9347801370847534,7.0,nan,19.184390194661116,-19.525707978098865,nan,nan,nan,nan,nan,nan,nan,6389.039849542907
