F1,X1,T1,T200,required_P100,required_F200,P100_lower_ok,P100_upper_ok,F200_lower_ok,F200_upper_ok,steady_input_feasible,derivative_norm_at_required_input,error
9.5,4.5,36.0,20.0,218.73133241848817,129.94338975741712,True,True,True,True,True,1.7763568394002505e-15,
9.5,4.5,36.0,30.0,218.73133241848817,315.9706081465653,True,True,True,True,True,1.7763568394002505e-15,
9.5,4.5,44.0,20.0,215.09788944441945,129.94338975741712,True,True,True,True,True,4.263256414560601e-15,
9.5,4.5,44.0,30.0,215.09788944441945,315.9706081465653,True,True,True,True,True,4.263256414560601e-15,
9.5,5.5,36.0,20.0,210.11756674720462,112.43401635256147,True,True,True,True,True,3.552713678800501e-16,
9.5,5.5,36.0,30.0,210.11756674720462,239.77954023507388,True,True,True,True,True,3.552713678800501e-16,
9.5,5.5,44.0,20.0,206.48412377313593,112.43401635256147,True,True,True,True,True,1.4210854715202005e-15,
9.5,5.5,44.0,30.0,206.48412377313593,239.77954023507388,True,True,True,True,True,1.4210854715202005e-15,
10.5,4.5,36.0,20.0,239.12837671827342,199.46458762207845,True,True,True,True,True,3.552713678800501e-15,
10.5,4.5,36.0,30.0,239.12837671827342,1093.9492589010044,True,True,True,False,False,3.552713678800501e-15,
10.5,4.5,44.0,20.0,235.17884475124524,199.46458762207845,True,True,True,True,True,1.0658141036401502e-15,
10.5,4.5,44.0,30.0,235.17884475124524,1093.9492589010044,True,True,True,False,False,1.0658141036401502e-15,
10.5,5.5,36.0,20.0,229.76526214126702,163.9954522020519,True,True,True,True,True,3.552713678800501e-16,
10.5,5.5,36.0,30.0,229.76526214126702,548.248732617688,True,True,True,False,False,3.552713678800501e-16,
10.5,5.5,44.0,20.0,225.81573017423892,163.9954522020519,True,True,True,True,True,2.842170943040401e-15,
10.5,5.5,44.0,30.0,225.81573017423892,548.248732617688,True,True,True,False,False,2.842170943040401e-15,
