episode,policy_scale,return_per_step,economic_cost_mean,incremental_return_per_step,economic_cost_reduction_percent,violation_rate,robust_operating_region_violation_rate,rpi_violation_rate,qp_infeasible_rate,disturbance_bound_exceedance_rate,intervention_rate,mapping_rate,safe,positive_increment,practically_significant,eligible
0.0,0.0,0.14901872176792388,6390.476468930253,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
1.0,0.0,0.14901872176792388,6390.476468930253,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
1.0,0.25,0.16059272006892528,6388.161669086511,0.011573998301001392,0.03622264873356352,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0
1.0,0.5,0.17218867554779252,6385.842477440096,0.023169953779868635,0.0725140216490324,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0
1.0,0.75,0.1838066613759931,6383.518879356715,0.034787939608069224,0.10887434774801066,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0
1.0,1.0,0.19544675071384643,6381.1908602042795,0.046428028945922545,0.14530385599757548,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0
5.0,0.0,0.14901872176792388,6390.476468930253,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
5.0,0.25,0.15979385430821866,6388.3214421693,0.010775132540294774,0.03372247392553964,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0
5.0,0.5,0.17043836252167968,6386.192539767894,0.021419640753755798,0.06703614641547588,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0
5.0,0.75,0.18094805034764758,6384.090600937786,0.03192932857972369,0.09992788524477474,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0
5.0,1.0,0.19131957559727017,6382.016294115679,0.042300853829346285,0.13238723052508808,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0
10.0,0.0,0.14901872176792388,6390.476468930253,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
10.0,0.25,0.15990008186448143,6388.300196480462,0.010881360096557546,0.03405493252924089,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0
10.0,0.5,0.17077344205739653,6386.125523165931,0.021754720289472645,0.06808484133344349,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0
10.0,0.75,0.18163909780406917,6383.952389915802,0.03262037603614529,0.10209065077025273,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0
10.0,1.0,0.1924970502349139,6381.78079650804,0.04347832846699001,0.13607236431414899,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0
