attempt,scale,state_region,input_region,w_hull_vertex_count,max_residual_norm,hinf_feasible,rpi_feasible,x_tightening_feasible,u_tightening_feasible,invariant_feasible,s_plus_z_contained,input_tube_contained,residual_membership_passed,safe_center_feasible,v_ref_feasible,feasible,failure_reason,s_subset_tightened,rpi_area,x_minus_z_area,invariant_area
1,1.0,"[[27.0, 50.57], [31.0, 56.57]]","[[187.62265879332617, 185.15014494495907], [257.6226587933262, 245.15014494495907]]",15,0.00037836685702827066,True,True,True,True,True,True,True,True,True,True,True,,True,1.3824963616870343,1.4129622598767633,1.3988679613344925
2,1.25,"[[26.5, 49.82], [31.5, 57.32]]","[[178.87265879332617, 177.65014494495907], [266.3726587933262, 252.65014494495907]]",17,0.0005021879872033834,True,True,True,True,False,False,False,False,True,False,False,"invariant_feasible,v_ref_feasible",,,,
3,1.125,"[[26.75, 50.195], [31.25, 56.945]]","[[183.24765879332617, 181.40014494495907], [261.9976587933262, 248.90014494495907]]",15,0.0004369253440060345,True,True,True,True,True,True,True,True,True,True,True,,True,1.7544398417550027,2.0913301432904787,2.070469125111156
4,1.1875,"[[26.625, 50.0075], [31.375, 57.1325]]","[[181.06015879332617, 179.52514494495907], [264.1851587933262, 250.77514494495907]]",16,0.000468718851518053,True,True,True,True,True,True,True,True,True,True,True,,True,1.9750680616783152,2.3857255058709836,2.3619278939499204
5,1.21875,"[[26.5625, 49.91375], [31.4375, 57.22625]]","[[179.96640879332617, 178.58764494495907], [265.2789087933262, 251.71264494495907]]",16,0.00048524399070513203,True,True,True,True,False,False,False,False,True,False,False,"invariant_feasible,v_ref_feasible",,,,
6,1.203125,"[[26.59375, 49.960625], [31.40625, 57.179375]]","[[180.51328379332617, 179.05639494495907], [264.7320337933262, 251.24389494495907]]",18,0.00047692906088130695,True,True,True,True,True,True,True,True,True,True,True,,True,2.034185944437632,2.4529758550558687,2.4285074209016875
7,1.2109375,"[[26.578125, 49.9371875], [31.421875, 57.2028125]]","[[180.23984629332617, 178.82201994495907], [265.0054712933262, 251.47826994495907]]",16,0.00048107343612164845,True,True,True,True,False,False,False,False,True,False,False,"invariant_feasible,v_ref_feasible",,,,
8,1.20703125,"[[26.5859375, 49.94890625], [31.4140625, 57.19109375]]","[[180.37656504332617, 178.93920744495907], [264.8687525433262, 251.36108244495907]]",17,0.00047899797603540484,True,True,True,True,True,True,True,True,True,True,True,,True,2.049222252278236,2.4693507787358033,2.4447190047179133
9,1.208984375,"[[26.58203125, 49.943046875], [31.41796875, 57.196953125]]","[[180.30820566832617, 178.88061369495907], [264.9371119183262, 251.41967619495907]]",15,0.0004800348879680666,True,True,True,True,True,True,True,True,True,True,True,,True,2.0567793034838315,2.4774710105335638,2.4527582372034917
10,1.2099609375,"[[26.580078125, 49.9401171875], [31.419921875, 57.1998828125]]","[[180.27402598082617, 178.85131681995907], [264.9712916058262, 251.44897306995907]]",17,0.00048055395751798503,True,True,True,True,True,True,True,True,True,True,True,,True,2.0605675831230617,2.481514193753861,2.4567610896711662
