episode,return,return_per_step,economic_cost_mean,economic_reward_mean,projection_penalty_mean,mapping_penalty_mean,feasible_action_mapping_rate,residual_feasible_scale_mean,residual_feasible_scale_min,residual_requested_norm_mean,residual_applied_norm_mean,residual_execution_ratio_mean,move_penalty_mean,safety_penalty_mean,state_excess_squared_mean,input_excess_squared_mean,rpi_excess_squared_mean,violation_rate,robust_operating_region_violation_rate,rpi_violation_rate,disturbance_bound_exceedance_rate,intervention_rate,qp_infeasible_rate,rpi_utilization_peak,alpha,entropy,q_loss,actor_loss,execution_mask_mean,theta_cost_updates,theta_set_update_attempts,theta_set_update_accepts,theta_K_update_attempts,theta_K_update_accepts,theta_K_last_coordinate,theta_K_step_norm,theta_K_last_policy_score,theta_transition_samples,theta_data_hull_vertices,theta_membership_exceedances,theta_pending_uncovered_hull_vertices,theta_h_norm,theta_p_norm,theta_M_norm,theta_K_change_norm,theta_M_angle_deg,theta_td_error_abs_mean,theta_rpi_area,theta_rpi_area_change_percent,robust_refinement_iterations,robust_refinement_uncovered_count,robust_refinement_max_excess,robust_refinement_relative_rpi_change,robust_region_search_attempts,last_feasible_scale,first_infeasible_scale,first_feasible_scale,minimum_certified_scale,maximum_certified_scale,last_lower_infeasible_scale,first_upper_infeasible_scale,robust_region_residual_hull_vertices,robust_region_max_sample_residual_norm,self_consistency_S_plus_Z_passed,evaluation_return,evaluation_return_per_step,evaluation_economic_cost_mean,evaluation_theta_only_economic_cost_mean,evaluation_safe_sac_economic_cost_mean,evaluation_sac_incremental_cost_reduction_percent,evaluation_robust_sac_improvement_percent,evaluation_nominal_sac_improvement_percent,evaluation_normalized_safe_performance_gap,safe_reference_cost
0,74.50936088396195,0.14901872176792388,6390.476468930253,0.14901872176792388,0.0,0.0,0.0,0.27298174477891196,0.2724194838406362,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04069291479086773,0.10000000000000002,nan,nan,nan,1.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.223159136044214,nan,0.0,17.0,0.0,0.0,0.0,0.0,21986.254697835575,0.0,4.0,nan,2.0605675831230617,0.0,10.0,0.0,0.0,nan,10.0,1.2099609375,1.25,1.0,1.0,1.2099609375,nan,1.25,17.0,0.00048055395751798503,1.0,74.50936088396195,0.14901872176792388,6390.476468930253,6390.476468930253,6390.476468930253,0.0,0.0,0.0,-1.0,6349.95896208802
1,103.039872368903,0.20607974473780602,6379.062046015697,0.20609083634069278,0.0,0.0,0.0,0.26029888759905656,0.0,0.08509108949361394,0.022102110142514876,0.26029888759905656,1.109160288639025e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01979506938859493,0.1,0.10613226890563965,0.13243330270051956,-0.899911642074585,1.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.223159136044214,nan,500.0,17.0,0.0,0.0,0.0,0.0,21986.254697835575,0.0,4.0,nan,2.0605675831230617,0.0,10.0,0.0,0.0,nan,10.0,1.2099609375,1.25,1.0,1.0,1.2099609375,nan,1.25,17.0,0.00048055395751798503,1.0,97.72337535692321,0.19544675071384643,6381.1908602042795,6390.476468930253,6381.1908602042795,0.14530385599757548,0.14530385599757548,0.0,-0.7708247755191451,6349.95896208802
2,-48.56034263155943,-0.09712068526311886,6439.703048311265,-0.09711417513711201,0.0,0.0,0.0,0.13785888338408187,0.0,0.0847597727025657,0.01186337220543338,0.13785888338408187,6.510126006727177e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.030988544420203296,0.1,-0.12690827250480652,0.3208457827568054,-1.502181053161621,1.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.223159136044214,nan,1000.0,17.0,0.0,0.0,0.0,0.0,21986.254697835575,0.0,4.0,nan,2.0605675831230617,0.0,10.0,0.0,0.0,nan,10.0,1.2099609375,1.25,1.0,1.0,1.2099609375,nan,1.25,17.0,0.00048055395751798503,1.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,6349.95896208802
3,-20.030263377538922,-0.04006052675507785,6428.290789056735,-0.04005287886447844,0.0,0.0,0.0,0.1664817662278809,0.0,0.08466796603717197,0.01414099909712851,0.1664817662278809,7.647890599428626e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.029089962763712153,0.1,-0.49993547797203064,0.6750929951667786,-3.2857720851898193,1.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.223159136044214,nan,1500.0,17.0,0.0,0.0,0.0,0.0,21986.254697835575,0.0,4.0,nan,2.0605675831230617,0.0,10.0,0.0,0.0,nan,10.0,1.2099609375,1.25,1.0,1.0,1.2099609375,nan,1.25,17.0,0.00048055395751798503,1.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,6349.95896208802
4,134.3012463471342,0.2686024926942684,6366.557406107479,0.26861403588177196,0.0,0.0,0.0,0.28183445079276115,0.2784938240333997,0.08381775037363735,0.02362500781572671,0.28183445079276115,1.1543187503586177e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.033736340527086454,0.1,-0.42774999141693115,0.7931237816810608,-4.900625705718994,1.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.223159136044214,nan,2000.0,17.0,0.0,0.0,0.0,0.0,21986.254697835575,0.0,4.0,nan,2.0605675831230617,0.0,10.0,0.0,0.0,nan,10.0,1.2099609375,1.25,1.0,1.0,1.2099609375,nan,1.25,17.0,0.00048055395751798503,1.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,6349.95896208802
5,52.0240818240048,0.1040481636480096,6399.4690609301415,0.10405576176849929,0.0,0.0,0.0,0.16957921999913436,0.0,0.0823471192662036,0.014464958996547216,0.16957921999913436,7.598120489503343e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03826987814560202,0.09305297583341599,-0.6779471039772034,0.5909931659698486,-8.311262130737305,1.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.223159136044214,nan,2500.0,17.0,1.0,0.0,0.0,0.0,21986.254697835575,0.0,4.0,nan,2.0605675831230617,0.0,10.0,0.0,0.0,nan,10.0,1.2099609375,1.25,1.0,1.0,1.2099609375,nan,1.25,17.0,0.00048055395751798503,1.0,95.65978779863508,0.19131957559727017,6382.016294115679,6390.476468930253,6382.016294115679,0.13238723052508808,0.13238723052508808,0.0,-0.7911970534732953,6349.95896208802
6,194.6286372327009,0.3892572744654018,6342.426471287971,0.3892687099793541,0.0,0.0,0.0,0.2327383374992162,0.0,0.08478032968586778,0.019924202313069243,0.2327383374992162,1.1435513952199311e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03098372176867717,0.08232294768095016,-1.4226560592651367,0.9787901341915131,-10.910423278808594,1.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.223159136044214,nan,3000.0,17.0,1.0,0.0,0.0,0.0,21986.254697835575,0.0,4.0,nan,2.0605675831230617,0.0,10.0,0.0,0.0,nan,10.0,1.2099609375,1.25,1.0,1.0,1.2099609375,nan,1.25,17.0,0.00048055395751798503,1.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,6349.95896208802
7,352.2610749955589,0.7045221499911177,6279.374242381721,0.7045298545105655,0.0,0.0,0.0,0.16729871219782458,0.0,0.08395361063628314,0.014237586212685645,0.16729871219782458,7.704519446624816e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.019360840975737193,0.07837166637182236,-1.8796226978302002,0.859105110168457,-14.363349914550781,1.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.223159136044214,nan,3500.0,17.0,1.0,0.0,0.0,0.0,21986.254697835575,0.0,4.0,nan,2.0605675831230617,0.0,10.0,0.0,0.0,nan,10.0,1.2099609375,1.25,1.0,1.0,1.2099609375,nan,1.25,17.0,0.00048055395751798503,1.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,6349.95896208802
8,127.21640594298997,0.25443281188597994,6369.391031776701,0.2544459075356832,0.0,0.0,0.0,0.277088412362208,0.2597619003564626,0.08475936569205232,0.023480572004108666,0.27708841236220805,1.3095649703307287e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03269864681942081,0.07908038794994354,-1.8398544788360596,2.796337842941284,-15.201886177062988,1.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.223159136044214,nan,4000.0,17.0,1.0,0.0,0.0,0.0,21986.254697835575,0.0,4.0,nan,2.0605675831230617,0.0,10.0,0.0,0.0,nan,10.0,1.2099609375,1.25,1.0,1.0,1.2099609375,nan,1.25,17.0,0.00048055395751798503,1.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,6349.95896208802
9,145.7756891329089,0.2915513782658178,6361.968313872124,0.2915594970585639,0.0,0.0,0.0,0.18004401535015008,0.0,0.08314095168051233,0.015060831210197459,0.18004401535015002,8.118792746002067e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03851074328821641,0.07909213751554489,-2.115201711654663,1.74600750207901,-17.033689498901367,1.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.223159136044214,nan,4500.0,17.0,1.0,0.0,0.0,0.0,21986.254697835575,0.0,4.0,nan,2.0605675831230617,0.0,10.0,0.0,0.0,nan,10.0,1.2099609375,1.25,1.0,1.0,1.2099609375,nan,1.25,17.0,0.00048055395751798503,1.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,6349.95896208802
10,93.17225351761809,0.18634450703523617,6383.008671042482,0.18635771120678607,0.0,0.0,0.0,0.27082411161579956,0.0,0.08580508177953472,0.02323504560440194,0.27082411161579956,1.3204171549891374e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03150284399639183,0.07800030708312988,-1.7582876682281494,2.1469966173171997,-19.044633865356445,1.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.223159136044214,nan,5000.0,17.0,1.0,0.0,0.0,0.0,21986.254697835575,0.0,4.0,nan,2.0605675831230617,0.0,10.0,0.0,0.0,nan,10.0,1.2099609375,1.25,1.0,1.0,1.2099609375,nan,1.25,17.0,0.00048055395751798503,1.0,96.24852511745694,0.1924970502349139,6381.78079650804,6390.476468930253,6381.78079650804,0.13607236431414899,0.13607236431414899,0.0,-0.7853848101742317,6349.95896208802
