episode,policy_scale,return_per_step,economic_cost_mean,incremental_return_per_step,economic_cost_reduction_percent,violation_rate,robust_operating_region_violation_rate,rpi_violation_rate,qp_infeasible_rate,disturbance_bound_exceedance_rate,intervention_rate,mapping_rate,safe,positive_increment,practically_significant,eligible
0.0,0.0,0.15559517506128326,6389.161178271578,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
1.0,0.0,0.15559517506128326,6389.161178271578,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
1.0,0.25,0.15629037084133432,6389.022139114895,0.0006951957800510611,0.0021761723143834876,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0
1.0,0.5,0.15698580766039513,6388.883051749069,0.001390632599111874,0.0043530991745093246,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0
1.0,0.75,0.1576814856427117,6388.743916149228,0.002086310581428441,0.006530780969632561,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0
1.0,1.0,0.15837740488304272,6388.604732296448,0.002782229821759463,0.008709217995982768,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0
5.0,0.0,0.15559517506128326,6389.161178271578,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
5.0,0.25,0.15702580320473963,6388.87505263829,0.001430628143456375,0.004478297311721123,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0
5.0,0.5,0.15845599444889,6388.589014375637,0.002860819387606739,0.008955227141350884,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0
5.0,0.75,0.15988573804132108,6388.303065634078,0.0042905629800378264,0.013430755830960876,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0
5.0,1.0,0.16131502528582228,6388.01720815283,0.005719850224539025,0.017904856159188777,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0
10.0,0.0,0.15559517506128326,6389.161178271578,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
10.0,0.25,0.15704067664149926,6388.87207794683,0.001445501580216002,0.004524855715503908,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0
10.0,0.5,0.15848885482554517,6388.582442283873,0.002893679764261914,0.00905809028066331,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0
10.0,0.75,0.15993972158304495,6388.292268888766,0.004344546521761694,0.01359974116426267,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0
10.0,1.0,0.1613932841057012,6388.001556323142,0.005798109044417937,0.01814983087889528,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0
