episode,return,return_per_step,economic_cost_mean,economic_reward_mean,projection_penalty_mean,mapping_penalty_mean,feasible_action_mapping_rate,residual_feasible_scale_mean,residual_feasible_scale_min,residual_requested_norm_mean,residual_applied_norm_mean,residual_execution_ratio_mean,move_penalty_mean,safety_penalty_mean,state_excess_squared_mean,input_excess_squared_mean,rpi_excess_squared_mean,violation_rate,robust_operating_region_violation_rate,rpi_violation_rate,disturbance_bound_exceedance_rate,intervention_rate,qp_infeasible_rate,rpi_utilization_peak,alpha,entropy,q_loss,actor_loss,execution_mask_mean,theta_cost_updates,theta_set_update_attempts,theta_set_update_accepts,theta_K_update_attempts,theta_K_update_accepts,theta_K_last_coordinate,theta_K_step_norm,theta_K_last_policy_score,theta_transition_samples,theta_data_hull_vertices,theta_membership_exceedances,theta_pending_uncovered_hull_vertices,theta_h_norm,theta_p_norm,theta_M_norm,theta_K_change_norm,theta_M_angle_deg,theta_td_error_abs_mean,theta_rpi_area,theta_rpi_area_change_percent,robust_refinement_iterations,robust_refinement_uncovered_count,robust_refinement_max_excess,robust_refinement_relative_rpi_change,robust_region_search_attempts,last_feasible_scale,first_infeasible_scale,first_feasible_scale,minimum_certified_scale,maximum_certified_scale,last_lower_infeasible_scale,first_upper_infeasible_scale,robust_region_residual_hull_vertices,robust_region_max_sample_residual_norm,self_consistency_S_plus_Z_passed,evaluation_return,evaluation_return_per_step,evaluation_economic_cost_mean,evaluation_theta_only_economic_cost_mean,evaluation_safe_sac_economic_cost_mean,evaluation_sac_incremental_cost_reduction_percent,evaluation_robust_sac_improvement_percent,evaluation_nominal_sac_improvement_percent,evaluation_normalized_safe_performance_gap,safe_reference_cost
0,77.79758753064162,0.15559517506128326,6389.161178271578,0.15559517506128326,0.0,0.0,0.0,0.04287292982317197,0.042283196366197685,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04031098038540824,0.10000000000000002,nan,nan,nan,1.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.223159136044214,nan,0.0,14.0,0.0,0.0,0.0,0.0,20553.372983018617,0.0,4.0,nan,2.134299138355914,0.0,19.0,0.0,0.0,nan,19.0,1.2548828125,1.5625,1.25,1.0107421875,1.2548828125,1.0,1.5625,14.0,0.0005159254770698535,1.0,77.79758753064162,0.15559517506128326,6389.161178271578,6389.161178271578,6389.161178271578,0.0,0.0,0.0,-1.0,6347.84185811124
1,108.42572274196245,0.2168514454839249,6376.909866712638,0.21685173285599776,0.0,0.0,0.0,0.041850257879794746,0.0,0.08509108949361394,0.0035480851772793837,0.041850257879794746,2.8737207268877025e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.019539658881907743,0.1,1.2097254991531372,0.07654760032892227,-0.5385384559631348,1.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.223159136044214,nan,500.0,14.0,0.0,0.0,0.0,0.0,20553.372983018617,0.0,4.0,nan,2.134299138355914,0.0,19.0,0.0,0.0,nan,19.0,1.2548828125,1.5625,1.25,1.0107421875,1.2548828125,1.0,1.5625,14.0,0.0005159254770698535,1.0,79.18870244152136,0.15837740488304272,6388.604732296448,6389.161178271578,6388.604732296448,0.008709217995982768,0.008709217995982768,0.0,-0.9865330316914435,6347.84185811124
2,-38.22154979220765,-0.0764430995844153,6435.56879974098,-0.07644293228569626,0.0,0.0,0.0,0.022106378239505113,0.0,0.0847597727025657,0.0018922271838422492,0.022106378239505117,1.6729871897649368e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03023078390722518,0.1,1.0016604661941528,0.12659286707639694,-0.22034598886966705,1.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.223159136044214,nan,1000.0,14.0,0.0,0.0,0.0,0.0,20553.372983018617,0.0,4.0,nan,2.134299138355914,0.0,19.0,0.0,0.0,nan,19.0,1.2548828125,1.5625,1.25,1.0107421875,1.2548828125,1.0,1.5625,14.0,0.0005159254770698535,1.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,6347.84185811124
3,-8.329798981605274,-0.016659597963210548,6423.61208780154,-0.01665937258850932,0.0,0.0,0.0,0.02856843922366531,0.0,0.08466796603717197,0.002429952841129102,0.028568439223665306,2.2537470121111967e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.029365590106619537,0.1,0.6249849796295166,0.5902479290962219,-1.0493977069854736,1.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.223159136044214,nan,1500.0,14.0,0.0,0.0,0.0,0.0,20553.372983018617,0.0,4.0,nan,2.134299138355914,0.0,19.0,0.0,0.0,nan,19.0,1.2548828125,1.5625,1.25,1.0107421875,1.2548828125,1.0,1.5625,14.0,0.0005159254770698535,1.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,6347.84185811124
4,139.4767421292826,0.2789534842585652,6364.489436672195,0.2789538830582308,0.0,0.0,0.0,0.05216521367029933,0.048674773246386124,0.08381775037363735,0.004374770346383515,0.05216521367029934,3.9879966577126034e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03289482862256712,0.1,0.2551353871822357,0.7486856281757355,-1.5147594213485718,1.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.223159136044214,nan,2000.0,14.0,0.0,0.0,0.0,0.0,20553.372983018617,0.0,4.0,nan,2.134299138355914,0.0,19.0,0.0,0.0,nan,19.0,1.2548828125,1.5625,1.25,1.0107421875,1.2548828125,1.0,1.5625,14.0,0.0005159254770698535,1.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,6347.84185811124
5,54.05545972002057,0.10811091944004114,6398.657996886341,0.10811108198752595,0.0,0.0,0.0,0.024823543866721014,0.0,0.0823471192662036,0.002108508450736349,0.024823543866721014,1.625474848280919e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03804985377681347,0.09296132624149323,-0.20126861333847046,1.3265601992607117,-3.3361339569091797,1.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.223159136044214,nan,2500.0,14.0,0.0,0.0,0.0,0.0,20553.372983018617,0.0,4.0,nan,2.134299138355914,0.0,19.0,0.0,0.0,nan,19.0,1.2548828125,1.5625,1.25,1.0107421875,1.2548828125,1.0,1.5625,14.0,0.0005159254770698535,1.0,80.65751264291114,0.16131502528582228,6388.01720815283,6389.161178271578,6388.01720815283,0.017904856159188777,0.017904856159188777,0.0,-0.9723139172109047,6347.84185811124
6,201.50060581891285,0.4030012116378257,6339.679891829361,0.40300160727238293,0.0,0.0,0.0,0.043343559228916965,0.0,0.08478032968586778,0.003709782539484922,0.04334355922891697,3.956345572534437e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.030023603838185347,0.08195841312408447,-1.135177493095398,1.8233425617218018,-5.1484527587890625,1.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.223159136044214,nan,3000.0,14.0,0.0,0.0,0.0,0.0,20553.372983018617,0.0,4.0,nan,2.134299138355914,0.0,19.0,0.0,0.0,nan,19.0,1.2548828125,1.5625,1.25,1.0107421875,1.2548828125,1.0,1.5625,14.0,0.0005159254770698535,1.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,6347.84185811124
7,365.5285922651795,0.731057184530359,6274.0687191153,0.7310574708426935,0.0,0.0,0.0,0.03215699455384219,0.0,0.08395361063628314,0.002745091175448346,0.032156994553842175,2.8631233544768584e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01922808022047392,0.0737357959151268,-1.0175516605377197,1.9146916270256042,-8.68447208404541,1.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.223159136044214,nan,3500.0,14.0,0.0,0.0,0.0,0.0,20553.372983018617,0.0,4.0,nan,2.134299138355914,0.0,19.0,0.0,0.0,nan,19.0,1.2548828125,1.5625,1.25,1.0107421875,1.2548828125,1.0,1.5625,14.0,0.0005159254770698535,1.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,6347.84185811124
8,132.63443004549927,0.26526886009099854,6367.226364911392,0.26526924186223416,0.0,0.0,0.0,0.047208302630190185,0.0419055771657804,0.08475936569205232,0.003996123853554834,0.047208302630190185,3.817712357485712e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03196092802492123,0.06850195676088333,-1.879416584968567,2.199446439743042,-9.013500213623047,1.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.223159136044214,nan,4000.0,14.0,0.0,0.0,0.0,0.0,20553.372983018617,0.0,4.0,nan,2.134299138355914,0.0,19.0,0.0,0.0,nan,19.0,1.2548828125,1.5625,1.25,1.0107421875,1.2548828125,1.0,1.5625,14.0,0.0005159254770698535,1.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,6347.84185811124
9,155.4226952433411,0.3108453904866822,6358.111085203419,0.31084564040210877,0.0,0.0,0.0,0.031557529729809554,0.0,0.08314095168051233,0.0026366586365560757,0.03155752972980956,2.4991542645912636e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.038280183108899565,0.0679817721247673,-2.1857516765594482,3.6872130632400513,-10.640165328979492,1.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.223159136044214,nan,4500.0,14.0,0.0,0.0,0.0,0.0,20553.372983018617,0.0,4.0,nan,2.134299138355914,0.0,19.0,0.0,0.0,nan,19.0,1.2548828125,1.5625,1.25,1.0107421875,1.2548828125,1.0,1.5625,14.0,0.0005159254770698535,1.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,6347.84185811124
10,96.70656708339041,0.19341313416678083,6381.5975027197555,0.19341355282041167,0.0,0.0,0.0,0.04801258330251629,0.0,0.08580508177953472,0.004121961236996617,0.048012583302516294,4.18653630818582e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.030675594422856296,0.07245146483182907,-2.007563829421997,3.910775661468506,-13.81395149230957,1.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.223159136044214,nan,5000.0,14.0,0.0,0.0,0.0,0.0,20553.372983018617,0.0,4.0,nan,2.134299138355914,0.0,19.0,0.0,0.0,nan,19.0,1.2548828125,1.5625,1.25,1.0107421875,1.2548828125,1.0,1.5625,14.0,0.0005159254770698535,1.0,80.6966420528506,0.1613932841057012,6388.001556323142,6389.161178271578,6388.001556323142,0.01814983087889528,0.01814983087889528,0.0,-0.9719351154874656,6347.84185811124
