attempt,scale,state_region,input_region,w_hull_vertex_count,max_residual_norm,hinf_feasible,rpi_feasible,x_tightening_feasible,u_tightening_feasible,invariant_feasible,s_plus_z_contained,input_tube_contained,residual_membership_passed,safe_center_feasible,v_ref_feasible,feasible,failure_reason,s_subset_tightened,rpi_area,x_minus_z_area,invariant_area
1,1.0,"[[27.0, 50.57], [31.0, 56.57]]","[[187.62265879332617, 185.15014494495907], [257.6226587933262, 245.15014494495907]]",14,0.00038919877670311995,True,True,True,True,False,False,False,False,True,False,False,"invariant_feasible,v_ref_feasible",,,,
2,1.25,"[[26.5, 49.82], [31.5, 57.32]]","[[178.87265879332617, 177.65014494495907], [266.3726587933262, 252.65014494495907]]",16,0.000513235885079543,True,True,True,True,True,True,True,True,True,True,True,,True,2.115324593702779,2.6654456507925866,2.63885783042593
3,1.5625,"[[25.875, 48.8825], [32.125, 58.2575]]","[[167.93515879332617, 168.27514494495907], [277.3101587933262, 262.02514494495904]]",15,0.0007059785895818735,True,True,True,True,False,False,False,False,True,False,False,"invariant_feasible,v_ref_feasible",,,,
4,1.125,"[[26.75, 50.195], [31.25, 56.945]]","[[183.24765879332617, 181.40014494495907], [261.9976587933262, 248.90014494495907]]",16,0.00044786473501830785,True,True,True,True,True,True,True,True,True,True,True,,True,1.6804293867016065,2.048541573852774,2.0281073716535927
5,1.0625,"[[26.875, 50.3825], [31.125, 56.7575]]","[[185.43515879332617, 183.27514494495907], [259.8101587933262, 247.02514494495907]]",14,0.0004176933988979079,True,True,True,True,True,True,True,True,True,True,True,,True,1.4966825527525498,1.6944878656823816,1.6775853492221995
6,1.03125,"[[26.9375, 50.47625], [31.0625, 56.66375]]","[[186.52890879332617, 184.21264494495907], [258.7164087933262, 246.08764494495907]]",13,0.00040323647220715577,True,True,True,True,True,True,True,True,True,True,True,,True,1.4124231545679198,1.5104096171115666,1.4953432811808784
7,1.015625,"[[26.96875, 50.523125], [31.03125, 56.616875]]","[[187.07578379332617, 184.68139494495907], [258.1695337933262, 245.61889494495907]]",13,0.0003961652172608295,True,True,True,True,True,True,True,True,True,True,True,,True,1.3721011700565033,1.417172735491631,1.403036437455102
8,1.0078125,"[[26.984375, 50.5465625], [31.015625, 56.5934375]]","[[187.34922129332617, 184.91576994495907], [257.8960962933262, 245.38451994495907]]",14,0.00039266889477192543,True,True,True,True,False,False,False,False,True,False,False,"invariant_feasible,v_ref_feasible",,,,
9,1.01171875,"[[26.9765625, 50.53484375], [31.0234375, 56.60515625]]","[[187.21250254332617, 184.79858244495907], [258.0328150433262, 245.50170744495907]]",13,0.0003944137805152053,True,True,True,True,True,True,True,True,True,True,True,,True,1.3622044749477826,1.3937665755866357,1.379863753995159
10,1.009765625,"[[26.98046875, 50.540703125], [31.01953125, 56.599296875]]","[[187.28086191832617, 184.85717619495907], [257.9644556683262, 245.44311369495907]]",15,0.0003935405187619142,True,True,True,True,False,False,False,False,True,False,False,"invariant_feasible,v_ref_feasible",,,,
11,1.0107421875,"[[26.978515625, 50.5377734375], [31.021484375, 56.6022265625]]","[[187.24668223082617, 184.82787931995907], [257.9986353558262, 245.47241056995907]]",14,0.0003939769449190128,True,True,True,True,True,True,True,True,True,True,True,,True,1.359741676579426,1.387909685003363,1.3740652858954545
12,1.40625,"[[26.1875, 49.35125], [31.8125, 57.78875]]","[[173.40390879332617, 172.96264494495907], [271.8414087933262, 257.33764494495904]]",15,0.0006043741395685409,True,True,True,True,False,False,False,False,True,False,False,"invariant_feasible,v_ref_feasible",,,,
13,1.328125,"[[26.34375, 49.585625], [31.65625, 57.554375]]","[[176.13828379332617, 175.30639494495907], [269.1070337933262, 254.99389494495907]]",17,0.0005574963996404851,True,True,True,True,False,False,False,False,True,False,False,"invariant_feasible,v_ref_feasible",,,,
14,1.2890625,"[[26.421875, 49.7028125], [31.578125, 57.4371875]]","[[177.50547129332617, 176.47826994495907], [267.7398462933262, 253.82201994495907]]",15,0.0005350389444207481,True,True,True,True,False,False,False,False,True,False,False,"invariant_feasible,v_ref_feasible",,,,
15,1.26953125,"[[26.4609375, 49.76140625], [31.5390625, 57.37859375]]","[[178.18906504332617, 177.06420744495907], [267.0562525433262, 253.23608244495907]]",14,0.000524055609516366,True,True,True,True,False,False,False,False,True,False,False,"invariant_feasible,v_ref_feasible",,,,
16,1.259765625,"[[26.48046875, 49.790703125], [31.51953125, 57.349296875]]","[[178.53086191832617, 177.35717619495907], [266.7144556683262, 252.94311369495907]]",16,0.0005186252952617492,True,True,True,True,False,False,False,False,True,False,False,"invariant_feasible,v_ref_feasible",,,,
17,1.2548828125,"[[26.490234375, 49.8053515625], [31.509765625, 57.3346484375]]","[[178.70176035582617, 177.50366056995907], [266.5435572308262, 252.79662931995907]]",14,0.0005159254770698535,True,True,True,True,True,True,True,True,True,True,True,,True,2.134299138355914,2.686279109877563,2.6594834757565335
18,1.25732421875,"[[26.4853515625, 49.79802734375], [31.5146484375, 57.34197265625]]","[[178.61631113707617, 177.43041838245907], [266.6290064495762, 252.86987150745907]]",15,0.0005172741079021425,True,True,True,True,False,False,False,False,True,False,False,"invariant_feasible,v_ref_feasible",,,,
19,1.256103515625,"[[26.48779296875, 49.801689453125], [31.51220703125, 57.338310546875]]","[[178.65903574645117, 177.46703947620907], [266.5862818402012, 252.83325041370907]]",15,0.0005165994729186735,True,True,True,True,False,False,False,False,True,False,False,"invariant_feasible,v_ref_feasible",,,,
